
"This is the DICE-2013 Rocky Road model, version is DICE2013_032813.gms"
"Base Price Scenario"

"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000,18.0000000000,19.0000000000,20.0000000000,21.0000000000,22.0000000000,23.0000000000,24.0000000000,25.0000000000,26.0000000000,27.0000000000,28.0000000000,29.0000000000,30.0000000000,31.0000000000,32.0000000000,33.0000000000,34.0000000000,35.0000000000,36.0000000000,37.0000000000,38.0000000000,39.0000000000,40.0000000000,41.0000000000,42.0000000000,43.0000000000,44.0000000000,45.0000000000,46.0000000000,47.0000000000,48.0000000000,49.0000000000,50.0000000000,51.0000000000,52.0000000000,53.0000000000,54.0000000000,55.0000000000,56.0000000000,57.0000000000,58.0000000000,59.0000000000,60.0000000000
"Year",2015.0000000000,2020.0000000000,2025.0000000000,2030.0000000000,2035.0000000000,2040.0000000000,2045.0000000000,2050.0000000000,2055.0000000000,2060.0000000000,2065.0000000000,2070.0000000000,2075.0000000000,2080.0000000000,2085.0000000000,2090.0000000000,2095.0000000000,2100.0000000000,2105.0000000000,2110.0000000000,2115.0000000000,2120.0000000000,2125.0000000000,2130.0000000000,2135.0000000000,2140.0000000000,2145.0000000000,2150.0000000000,2155.0000000000,2160.0000000000,2165.0000000000,2170.0000000000,2175.0000000000,2180.0000000000,2185.0000000000,2190.0000000000,2195.0000000000,2200.0000000000,2205.0000000000,2210.0000000000,2215.0000000000,2220.0000000000,2225.0000000000,2230.0000000000,2235.0000000000,2240.0000000000,2245.0000000000,2250.0000000000,2255.0000000000,2260.0000000000,2265.0000000000,2270.0000000000,2275.0000000000,2280.0000000000,2285.0000000000,2290.0000000000,2295.0000000000,2300.0000000000,2305.0000000000,2310.0000000000
"Industrial Emissions GTCO2 per year",33.5538267858,37.9701357368,42.5327257796,47.1863917744,51.8808798673,56.5704549821,61.2135012423,65.7721685238,70.2120635931,74.5019796791,78.6136576131,82.5215722108,86.2027383242,89.6365314057,92.8045178213,95.6902896624,98.2792978903,100.5586752637,102.5170356356,104.1442274079,105.4334237145,106.3785158702,106.9741607054,107.2157641422,107.0994264073,106.6218650095,105.7803249551,104.5724825636,102.9963465813,101.0501589598,98.7322968846,96.0411770301,92.9751629816,89.5324765289,85.7111137040,81.5087666934,76.9227528993,71.9499528580,66.5867582195,60.8290300321,54.6720626811,48.1105385398,41.1384327162,33.7487731171,25.9330461259,-27.7075003941,-27.4345927269,-27.1449792650,-26.8385693555,-26.5112687958,-26.1538738052,-26.0100841242,-25.8039369288,-25.5525515874,-25.2677703966,-24.9578876557,-20.5266398585,15.5396833513,57.1834404028,117.8572043095
"Atmospheric concentration C (ppm)",389.8591549296,406.6278735454,424.5800574237,443.8359483695,464.4550591837,486.4483887565,509.7883912254,534.4171032582,560.2527697504,587.1952477860,615.1304164410,643.9337765432,673.4733889628,703.6122710807,734.2103473839,765.1260307107,796.2174941875,827.3436795293,858.3650737267,889.1442713718,919.5463213847,949.4403803351,978.6995549699,1007.2008010886,1034.8248343774,1061.4560286269,1086.9822888611,1111.2948936855,1134.2883053956,1155.8599485841,1175.9099591803,1194.3409064954,1211.0574910780,1225.9662214050,1238.9750725218,1249.9931299546,1258.9302226002,1265.6965487602,1270.2023002087,1272.3572895319,1272.0705857085,1269.2501595352,1263.8025308632,1255.6323843844,1244.6420629911,1230.7307213951,1184.7302000174,1143.8971972950,1107.5939891592,1075.2643669624,1046.4258421181,1020.6636499533,997.4604321228,976.5359246514,957.6360750004,940.5326583529,925.0219683678,913.5497275615,925.9715899370,963.7261313440
"Atmospheric Temperature ",0.8000000000,0.9254555636,1.0595507473,1.2017434536,1.3515150876,1.5083122687,1.6715202127,1.8404572476,2.0143824498,2.1925104995,2.3740295842,2.5581195590,2.7439686360,2.9307876540,3.1178215278,3.3043578391,3.4897327527,3.6733345619,3.8546052143,4.0305901717,4.2011726661,4.3662397297,4.5256858525,4.6794150475,4.8273417353,4.9693907586,5.1054967596,5.2356030930,5.3596604070,5.4776249864,5.5894569282,5.6951181952,5.7945705776,5.8877735774,5.9746822166,6.0552447627,6.1294003514,6.1970764799,6.2581863332,6.3126258957,6.3602707881,6.4009727520,6.4345556814,6.4608110577,6.4794925747,6.4903095991,6.4798984503,6.4527744895,6.4127248893,6.3629095919,6.3059511973,6.2440154994,6.1787947675,6.1116755999,6.0437805980,5.9760062994,5.9090572273,5.8450230947,5.7974397972,5.7782433925
"Output Net Net) ",63.4728519038,75.6854430783,89.3193592969,104.3807612472,120.8713618353,138.7881013613,158.1228850130,178.8624329777,200.9882613078,224.4767941978,249.2995981331,275.4237219552,302.8121225550,331.4241519179,361.2160780529,392.1416059797,424.1523549987,457.1982281744,491.2275693936,526.2159434781,562.1259040310,598.9194433782,636.5588484457,675.0073433571,714.2295811019,754.1920281638,794.8632682971,836.2142463757,878.2184651374,920.8521441991,964.0943489997,1007.9270953088,1052.3354373330,1097.3075488790,1142.8348144092,1188.9119613397,1235.5372896179,1282.7131070154,1330.4465648498,1378.7512612951,1427.6502690898,1477.1817952401,1527.4096336973,1578.4422876431,1630.4675551054,1678.4552248179,1730.9084792061,1784.4921873957,1838.8796589909,1893.4590000961,1947.1914606602,2018.5492297686,2087.1668955860,2153.7972049938,2218.9360478103,2282.9043073004,2346.3665472908,2411.4570574743,2473.5064261626,2531.1361569632
"Climate Damages fraction output",0.0017088000,0.0022867696,0.0029974696,0.0038559802,0.0048770034,0.0060742658,0.0074599261,0.0090440453,0.0108341569,0.0128349631,0.0150481640,0.0174724151,0.0201034015,0.0229340084,0.0259545656,0.0291531445,0.0325158866,0.0360273428,0.0396708102,0.0433759045,0.0471251042,0.0509010118,0.0546864926,0.0584647902,0.0622196194,0.0659352348,0.0695964794,0.0731888111,0.0766983123,0.0801116826,0.0834162168,0.0865997713,0.0896507186,0.0925578935,0.0953105297,0.0978981910,0.1003106949,0.1025380309,0.1045702728,0.1063974860,0.1080096288,0.1093964473,0.1105473632,0.1114513523,0.1120968101,0.1124713969,0.1121108541,0.1111742573,0.1097985181,0.1080992713,0.1061726047,0.1040972379,0.1019339378,0.0997313850,0.0975278481,0.0953527789,0.0932282760,0.0912186676,0.0897395229,0.0891462182
"Consumption Per Capita ",6.8862295862,7.7819962469,8.7678627043,9.8439218440,11.0108039737,12.2693081330,13.6201568372,15.0638344775,16.6004841868,18.2298468197,19.9512311093,21.7635074168,23.6651197523,25.6541120703,27.7281663316,29.8846509541,32.1206802199,34.4331883713,36.8190274475,39.2758678367,41.8010876421,44.3918878313,47.0453775719,49.7586394576,52.5287803876,55.3529728279,58.2284884461,61.1527263197,64.1232368824,67.1377423639,70.1941544746,73.2905892888,76.4253794846,79.5970831107,82.8044869601,86.0466011418,89.3226370751,92.6319561311,95.9739625157,99.3478961468,102.7524395671,106.1849890729,109.6403149504,113.1081315429,116.5687269868,120.3021756142,124.1373522582,128.1023393729,132.2272807855,136.5615445860,137.5942850917,142.6304756171,147.4734772689,152.1764632089,156.7744486406,161.2900793307,165.7702800546,170.3658069338,174.7467447257,178.8156913365
"Carbon Price (per t CO2)",1.0000000000,1.1040808032,1.2189944200,1.3458683383,1.4859473960,1.6406059945,1.8113615841,1.9998895527,2.2080396636,2.4378542053,2.6915880291,2.9717306730,3.2810307884,3.6225231081,3.9995582228,4.4158354551,4.8754391561,5.3828787794,5.9431331263,6.5616991956,7.2446461183,7.9986747051,8.8311831930,9.7503398329,10.7651630342,11.8856098494,13.1226736690,14.4884920846,15.9964659780,17.6613910053,19.4996027668,21.5291370848,23.7699069648,26.2438979737,28.9753839539,31.9911651888,35.3208313570,38.9970518543,43.0558963337,47.5371886067,52.4848973787,57.9475676538,63.9787970386,70.6377616222,77.9897965881,152.8594849383,149.0379978148,145.3120478695,141.6792466727,138.1372655059,134.6838338683,131.3167380216,128.0338195710,124.8329740817,121.7121497297,118.6693459865,109.9855184333,63.4999113846,24.5956414729,0.0000000000
"Emissions Control Rate",0.0389763230,0.0417636818,0.0447503762,0.0479506616,0.0513798127,0.0550541966,0.0589913510,0.0632100676,0.0677304823,0.0725741705,0.0777642510,0.0833254958,0.0892844483,0.0956695502,0.1025112773,0.1098422848,0.1176975630,0.1261146049,0.1351335843,0.1447975485,0.1551526230,0.1662482318,0.1781373337,0.1908766747,0.2045270590,0.2191536389,0.2348262264,0.2516196257,0.2696139907,0.2888952076,0.3095553045,0.3316928907,0.3554136278,0.3808307333,0.4080655216,0.4372479828,0.4685174032,0.5020230297,0.5379247828,0.5763940194,0.6176143510,0.6617825199,0.7091093380,0.7598206936,0.8141586290,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.1666881028,0.8720244392,0.5221503289,0.0000000000
