
"This is the DICE-2013 Rocky Road model, version is DICE2013_032813.gms"
"Copenhagen Scenario"

"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000,18.0000000000,19.0000000000,20.0000000000,21.0000000000,22.0000000000,23.0000000000,24.0000000000,25.0000000000,26.0000000000,27.0000000000,28.0000000000,29.0000000000,30.0000000000,31.0000000000,32.0000000000,33.0000000000,34.0000000000,35.0000000000,36.0000000000,37.0000000000,38.0000000000,39.0000000000,40.0000000000,41.0000000000,42.0000000000,43.0000000000,44.0000000000,45.0000000000,46.0000000000,47.0000000000,48.0000000000,49.0000000000,50.0000000000,51.0000000000,52.0000000000,53.0000000000,54.0000000000,55.0000000000,56.0000000000,57.0000000000,58.0000000000,59.0000000000,60.0000000000
"Year",2015.0000000000,2020.0000000000,2025.0000000000,2030.0000000000,2035.0000000000,2040.0000000000,2045.0000000000,2050.0000000000,2055.0000000000,2060.0000000000,2065.0000000000,2070.0000000000,2075.0000000000,2080.0000000000,2085.0000000000,2090.0000000000,2095.0000000000,2100.0000000000,2105.0000000000,2110.0000000000,2115.0000000000,2120.0000000000,2125.0000000000,2130.0000000000,2135.0000000000,2140.0000000000,2145.0000000000,2150.0000000000,2155.0000000000,2160.0000000000,2165.0000000000,2170.0000000000,2175.0000000000,2180.0000000000,2185.0000000000,2190.0000000000,2195.0000000000,2200.0000000000,2205.0000000000,2210.0000000000,2215.0000000000,2220.0000000000,2225.0000000000,2230.0000000000,2235.0000000000,2240.0000000000,2245.0000000000,2250.0000000000,2255.0000000000,2260.0000000000,2265.0000000000,2270.0000000000,2275.0000000000,2280.0000000000,2285.0000000000,2290.0000000000,2295.0000000000,2300.0000000000,2305.0000000000,2310.0000000000
"Industrial Emissions GTCO2 per year",34.9146723307,37.4930652289,39.7365603213,41.6817354639,43.6670080597,45.6760591814,45.7237256963,44.9741981767,43.7799884708,42.3159475334,40.1311208437,37.5031874762,35.1111482158,32.8987011249,30.9209400758,29.1381263850,27.5729096934,26.1957086804,24.8682063110,22.1074113846,20.5354831314,19.0291316396,17.6232462641,16.2864769947,15.0315588316,13.8470033262,14.2921902994,14.4715199596,14.6299628584,14.7675898175,14.8846436827,14.9814907612,15.0585888799,15.1164656537,15.1557030240,15.1769257517,15.1807922155,15.1679866312,15.1392118241,15.0951819893,15.0366145284,14.9642197843,14.8786866511,14.7806607102,14.6707089698,14.5492609294,14.4165081331,14.2722302634,14.1154906828,13.9440959017,13.7536149382,13.6723218078,13.5557216256,13.4135859194,13.2527683833,13.0781367989,12.8931955898,12.7005064349,12.5019747209,12.2990457451
"Atmospheric concentration C (ppm)",389.8591549296,407.4992519169,425.0692760967,442.4946106415,459.7114797738,476.8624898520,494.0539102513,510.1009258400,524.6600191541,537.6326507344,549.0301120580,558.5639578656,566.1399527573,572.0978006189,576.7025441334,580.2242546569,582.8782742489,584.8713015305,586.3697532951,587.4346276707,587.1705035358,586.4386617229,585.3012905063,583.8365307726,582.0949435980,580.1304861040,577.9849097725,576.6949008908,575.9923817030,575.7934812711,576.0244633409,576.6205592723,577.5249208690,578.6876876169,580.0651597850,581.6190676104,583.3159266649,585.1264697699,587.0251465162,588.9896820387,591.0006873945,593.0413142680,595.0969468611,597.1549233791,599.2042782355,601.2354932369,603.2402405876,605.2110907133,607.1411398407,609.0234796036,610.8503699922,612.6118580440,614.3809227052,616.1314868640,617.8461650736,619.5135366992,621.1262888897,622.6799441853,624.1719848224,625.6012480000
"Atmospheric Temperature ",0.8000000000,0.9266056459,1.0611619212,1.2015079474,1.3457970827,1.4926854845,1.6411904970,1.7892606551,1.9349267892,2.0765454263,2.2128420036,2.3425461325,2.4645696491,2.5783692276,2.6837702248,2.7809009630,2.8700872052,2.9518090041,3.0266374598,3.0926729106,3.1499078788,3.1991219056,3.2410412399,3.2763606141,3.3057224140,3.3297273081,3.3489291597,3.3647696620,3.3782474001,3.3901473271,3.4010782390,3.4115045491,3.4217730979,3.4321356681,3.4427678034,3.4537844642,3.4652529886,3.4772037669,3.4896389872,3.5025397560,3.5158718590,3.5295903846,3.5436434002,3.5579748391,3.5725267289,3.5872408614,3.6020599802,3.6169285230,3.6317929164,3.6466013499,3.6613028497,3.6758452727,3.6902480585,3.7045052916,3.7185969937,3.7324963822,3.7461744441,3.7596027315,3.7727549836,3.7856079847
"Output Net Net) ",63.5819868191,76.0179804326,89.8666691756,105.1501148273,121.8353145428,139.9325034859,159.9365134486,181.0956521287,204.0071152210,228.2057554996,254.1689987122,281.4102611700,310.1459893152,340.4142248396,372.2538129277,405.6808839567,440.7078972662,477.3257484369,516.3290457965,556.2230572914,597.6849554308,640.6218275548,685.0160790904,730.8333564045,778.0361976866,826.5769593263,876.6329915274,927.9481922113,980.4658868301,1034.1161445520,1088.8319661887,1144.5477526671,1201.1984149289,1258.7188913852,1317.0439191614,1376.1079663796,1435.8452434588,1496.1897463767,1557.0752636203,1618.4352852675,1680.2026939078,1742.3090500501,1804.6831303000,1867.2481149081,1929.9163188175,1992.5794646192,2055.0908790463,2117.2329311709,2178.6573604040,2238.7750645207,2296.5491957419,2373.8443546890,2446.7894121534,2516.4965530463,2583.7449897908,2649.0806964108,2712.8850735230,2775.4229012404,2836.8761621691,2897.3680613501
"Climate Damages fraction output",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"Consumption Per Capita ",6.8675244220,7.7795793062,8.7783085643,9.8653138597,11.0411368620,12.3089848792,13.6892666411,15.1589192710,16.7354463561,18.4077469914,20.1905457945,22.0714517734,24.0563219450,26.1495745108,28.3549318978,30.6749638041,33.1117725269,35.6669125824,38.3634395862,41.1582491861,44.0609161408,47.0711320492,50.1878454080,53.4091501060,56.7327920851,60.1562596773,63.6829420643,67.3042295048,71.0142697068,74.8077182431,78.6795135565,82.6247399970,86.6385486438,90.7161151703,94.8526198327,99.0432450872,103.2831826793,107.5676527021,111.8919319808,116.2514008311,120.6416176869,125.0584453235,129.4982685819,133.9583812989,138.4376801651,142.9379124661,147.4659428138,152.0378773237,156.6866230177,161.4759175760,162.2809318704,167.7355916601,172.8834160403,177.8029724582,182.5492882511,187.1609047787,191.6647332503,196.0794452826,200.4178640029,204.6886618570
"Carbon Price (per t CO2)",0.0000000000,10.1341648682,35.8136749558,54.6539959107,85.4235188680,117.0705409121,63.7222837178,90.8355154450,81.8949887056,100.6642153828,96.5918057096,112.6652591567,126.2941639864,137.8326190855,147.1956130715,154.7567295102,160.5732618081,164.9673177145,144.0215645363,149.4868052901,151.1957210263,152.2982047940,152.7887310796,152.8146063967,152.4063863335,151.6427993513,147.3380669624,143.6546152884,140.0632499062,136.5616686585,133.1476269420,129.8189362685,126.5734628618,123.4091262902,120.3238981330,117.3158006797,114.3829056627,111.5233330211,108.7352496956,106.0168684532,103.3664467419,100.7822855733,98.2627284340,95.8061602231,93.4110062175,91.0757310621,88.7988377856,86.5788668409,84.4143951699,82.3040352906,80.2464344084,78.2402735482,76.2842667095,74.3771600417,72.5177310407,70.7047877647,68.9371680706,67.2137388688,65.5333953971,63.8950605121
"Emissions Control Rate",0.0000000000,0.0558748010,0.1109371510,0.1631897570,0.2062474820,0.2419392190,0.3018091400,0.3644849790,0.4236701920,0.4782838810,0.5340736430,0.5881568470,0.6336220000,0.6724570000,0.7051731020,0.7330185730,0.7564571180,0.7762975810,0.7941108150,0.8221971280,0.8391258110,0.8544537540,0.8681064130,0.8804858250,0.8916317520,0.9017417940,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.9000000000
