
"This is the DICE-2013 Rocky Road model, version is DICE2013_032813.gms"
"Limit 2 Degrees Scenario"

"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000,18.0000000000,19.0000000000,20.0000000000,21.0000000000,22.0000000000,23.0000000000,24.0000000000,25.0000000000,26.0000000000,27.0000000000,28.0000000000,29.0000000000,30.0000000000,31.0000000000,32.0000000000,33.0000000000,34.0000000000,35.0000000000,36.0000000000,37.0000000000,38.0000000000,39.0000000000,40.0000000000,41.0000000000,42.0000000000,43.0000000000,44.0000000000,45.0000000000,46.0000000000,47.0000000000,48.0000000000,49.0000000000,50.0000000000,51.0000000000,52.0000000000,53.0000000000,54.0000000000,55.0000000000,56.0000000000,57.0000000000,58.0000000000,59.0000000000,60.0000000000
"Year",2015.0000000000,2020.0000000000,2025.0000000000,2030.0000000000,2035.0000000000,2040.0000000000,2045.0000000000,2050.0000000000,2055.0000000000,2060.0000000000,2065.0000000000,2070.0000000000,2075.0000000000,2080.0000000000,2085.0000000000,2090.0000000000,2095.0000000000,2100.0000000000,2105.0000000000,2110.0000000000,2115.0000000000,2120.0000000000,2125.0000000000,2130.0000000000,2135.0000000000,2140.0000000000,2145.0000000000,2150.0000000000,2155.0000000000,2160.0000000000,2165.0000000000,2170.0000000000,2175.0000000000,2180.0000000000,2185.0000000000,2190.0000000000,2195.0000000000,2200.0000000000,2205.0000000000,2210.0000000000,2215.0000000000,2220.0000000000,2225.0000000000,2230.0000000000,2235.0000000000,2240.0000000000,2245.0000000000,2250.0000000000,2255.0000000000,2260.0000000000,2265.0000000000,2270.0000000000,2275.0000000000,2280.0000000000,2285.0000000000,2290.0000000000,2295.0000000000,2300.0000000000,2305.0000000000,2310.0000000000
"Industrial Emissions GTCO2 per year",25.9019392962,27.5513740758,28.5714584754,28.7594929259,27.9074846576,25.8050416691,22.2432763607,17.0188839201,9.9363315404,0.8032890774,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.6645958889,3.9069250189,3.7614859427,3.6213003599,3.4864347637,3.3568929564,3.2326307044,3.1135673728,2.9995951477,2.8905863323,2.7863991053,2.6868820518,2.5918777168,2.5012253785,2.4147632008,2.3323298920,2.2537659709,2.1789147215,2.1076229013,2.0397412539,1.9751248685,1.9136334178,1.8551313023,1.7994877197,1.7465766776,1.6962769629,1.6484720768,1.6030501455,1.5599038124,1.5189301166,1.4800303630,1.4431099857,1.4080784085,1.3748489045,1.3433384544,1.3134676074,-1.3468307227,-4.4710719576,-3.2580997369,5.4750926201,29.1285786348,122.9810704201
"Atmospheric concentration C (ppm)",389.8591549296,401.7282070954,413.4402067393,424.7201815966,435.1689186750,444.2730326268,451.4149409005,455.8835852632,456.8861013981,453.5592779100,444.9766139896,436.9221839219,429.8322200764,423.5914716442,418.0978789582,413.2611883269,409.0016846380,405.2490384182,401.9412621302,400.7299667521,400.5062685987,400.2882831303,400.0758615311,399.8688590064,399.6671346671,399.4705514174,399.2789758465,399.0922781233,398.9103318945,398.7330141864,398.5602053088,398.3917887628,398.2276511507,398.0676820891,397.9117741246,397.7598226518,397.6117258342,397.4673845271,397.3267022032,397.1895848799,397.0559410492,396.9256816098,396.7987198007,396.6749711371,396.5543533483,396.4367863168,396.3221920203,396.2104944741,396.1016196763,395.9954955537,395.8920519098,395.7912203741,395.6929343532,395.5971289823,395.5037410795,393.7273891918,390.1182943727,387.6084971745,390.9042470936,409.0402811095
"Atmospheric Temperature ",0.8000000000,0.9189425298,1.0396457586,1.1609122351,1.2812816250,1.3989642418,1.5117924150,1.6171746538,1.7120367046,1.7927291295,1.8548689314,1.9014579608,1.9356567032,1.9600967780,1.9769588077,1.9880400974,1.9948133011,1.9984771230,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,1.9977052092,1.9908979825,1.9816730894,1.9783739224,2.0000000000
"Output Net Net) ",63.4852516748,75.6287318767,89.1836758717,104.1440053565,120.4938234652,138.2015648515,157.2086750601,177.4072631473,198.5953819982,220.3855207312,245.1629743984,272.0187759720,300.7386759725,331.2454006460,363.4815772407,397.4005213180,432.9585346501,470.1069308096,509.3508131696,550.0339332562,592.0237853633,635.4572770728,680.3159278323,726.5714060230,774.1879400562,823.1239581430,873.3332316374,924.7657002512,977.3680943693,1031.0844280549,1085.8564099148,1141.6238007361,1198.3247355630,1255.8960196820,1314.2734018401,1373.3918246695,1433.1856423008,1493.5887926153,1554.5348899525,1615.9571857114,1677.7882955755,1739.9595048721,1802.3993287725,1865.0306991906,1927.7657165724,1990.4959428677,2053.0746041540,2115.2840732591,2176.7762448573,2236.9624256670,2294.8065776009,2372.1730307985,2445.1855348502,2514.9570126572,2582.0363435573,2647.1313495035,2711.0571705430,2774.3355199127,2837.3474433859,2899.6726729054
"Climate Damages fraction output",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"Consumption Per Capita ",6.9008191768,7.7894290477,8.7655763179,9.8260965231,10.9675535132,12.1860085826,13.4776386820,14.8408966611,16.2815711886,17.8235484584,19.5224244872,21.3683538835,23.3506951602,25.4627271323,27.7002123117,30.0605698620,32.5425307456,35.1462842987,37.8745956844,40.7134161677,43.6562323030,46.7034331577,49.8541779713,53.1067380470,56.4587244632,59.9072423359,63.4489979564,67.0803756944,70.7974955580,74.5962582305,78.4723821046,82.4214350564,86.4388628340,90.5200153540,94.6601715680,98.8545646263,103.0984075850,107.3869231851,111.7153802722,116.0791444246,120.4737562503,124.8950576454,129.3394139007,133.8040967159,138.2879784140,142.7927822459,147.3253419595,151.9017257262,156.5547857942,161.3481816117,162.1577933387,167.6174960903,172.7700904775,177.6941962880,182.4285672995,187.0231809520,191.5355923072,196.0026234306,200.4511587854,204.8514743976
"Carbon Price (per t CO2)",30.0528599970,39.3619998538,51.3394975300,66.5877737843,85.7948693510,109.7191937991,139.1639864610,174.9498491157,217.9137408621,269.0085368339,267.0573895746,260.3809548352,253.8714309644,247.5246451903,241.3365290605,235.3031158340,229.4205379381,223.6850244897,209.4577157074,200.7008515582,196.4077093816,192.1362516779,187.8974767889,183.7002409540,179.5517017344,175.4576391321,171.4226987085,167.4505820951,163.5442001042,159.7057980067,155.9370593336,152.2391926369,148.6130044607,145.0589609916,141.5772403175,138.1677768441,134.8302991077,131.5643620140,128.3693743201,125.2446220351,122.1892882554,119.2024697909,116.2831907921,113.4304133016,110.6430444079,107.9199390371,105.2598965673,102.6616478763,100.1238264063,97.6449111124,95.2231166717,92.8733532392,90.5755942853,88.3301332346,89.2716670848,90.8021540671,87.1625158400,75.0527308091,49.1389667379,0.0000000000
"Emissions Control Rate",0.2581359764,0.3041328889,0.3574940809,0.4189126236,0.4890803663,0.5686354579,0.6581128979,0.7579207354,0.8683928698,0.9900287839,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.9778059770,0.9684055361,0.9703954765,0.9721923287,0.9738191513,0.9752954072,0.9766377419,0.9778605252,0.9789762456,0.9799958115,0.9809287885,0.9817835919,0.9825676451,0.9832875126,0.9839490122,0.9845573100,0.9851170021,0.9856321848,0.9861065146,0.9865432596,0.9869453449,0.9873153894,0.9876557385,0.9879684890,0.9882555079,0.9885184421,0.9887587148,0.9889775028,0.9891756798,0.9893537032,0.9895113986,0.9896475572,0.9897591738,0.9899416612,0.9900878721,0.9902057651,1.0101647208,1.0341942915,1.0252752274,0.9568818387,0.7669688116,0.0000000000
