
"This is the DICE-2013 Rocky Road model, version is DICE2013_032813.gms"
"Optimal Price Scenario"

"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000,18.0000000000,19.0000000000,20.0000000000,21.0000000000,22.0000000000,23.0000000000,24.0000000000,25.0000000000,26.0000000000,27.0000000000,28.0000000000,29.0000000000,30.0000000000,31.0000000000,32.0000000000,33.0000000000,34.0000000000,35.0000000000,36.0000000000,37.0000000000,38.0000000000,39.0000000000,40.0000000000,41.0000000000,42.0000000000,43.0000000000,44.0000000000,45.0000000000,46.0000000000,47.0000000000,48.0000000000,49.0000000000,50.0000000000,51.0000000000,52.0000000000,53.0000000000,54.0000000000,55.0000000000,56.0000000000,57.0000000000,58.0000000000,59.0000000000,60.0000000000
"Year",2015.0000000000,2020.0000000000,2025.0000000000,2030.0000000000,2035.0000000000,2040.0000000000,2045.0000000000,2050.0000000000,2055.0000000000,2060.0000000000,2065.0000000000,2070.0000000000,2075.0000000000,2080.0000000000,2085.0000000000,2090.0000000000,2095.0000000000,2100.0000000000,2105.0000000000,2110.0000000000,2115.0000000000,2120.0000000000,2125.0000000000,2130.0000000000,2135.0000000000,2140.0000000000,2145.0000000000,2150.0000000000,2155.0000000000,2160.0000000000,2165.0000000000,2170.0000000000,2175.0000000000,2180.0000000000,2185.0000000000,2190.0000000000,2195.0000000000,2200.0000000000,2205.0000000000,2210.0000000000,2215.0000000000,2220.0000000000,2225.0000000000,2230.0000000000,2235.0000000000,2240.0000000000,2245.0000000000,2250.0000000000,2255.0000000000,2260.0000000000,2265.0000000000,2270.0000000000,2275.0000000000,2280.0000000000,2285.0000000000,2290.0000000000,2295.0000000000,2300.0000000000,2305.0000000000,2310.0000000000
"Industrial Emissions GTCO2 per year",34.7378553449,39.4719462104,44.3749326203,49.3976652440,54.4942180902,59.6218708080,64.7410188794,69.8150356901,74.8101037924,79.6950282996,84.4410413637,89.0216084598,93.4122396385,97.5903120942,101.5349068724,105.2266599539,108.6476290266,111.7811760887,114.6118631727,117.1253612921,119.3083716978,121.1485538351,122.6344649026,123.7555042105,124.5018626825,124.8644771369,124.8349872974,124.4056959490,123.5695299868,122.3200020285,120.6511757644,118.5576255691,116.0344046581,113.0770062855,109.6813258621,105.8436256231,101.5604927665,96.8287974807,91.6456422711,86.0083018548,79.9141379868,73.3604813055,66.3444379740,58.8625708905,50.9103629159,42.4812628758,33.5650132662,24.1446591658,14.1911648994,3.6535879157,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,122.9724771082
"Atmospheric concentration C (ppm)",389.8591549296,407.3860322369,426.2331393666,446.5257205831,468.3320854845,491.6743860563,516.5375526539,542.8766847169,570.6231462672,599.6895769754,629.9739964124,661.3631507044,693.7352296009,726.9620606593,760.9108721931,795.4457025272,830.4285201213,865.7201092079,901.1807668051,936.6708479386,972.0511901317,1007.1834428317,1041.9303199445,1076.1557938864,1109.7252425471,1142.5055589653,1174.3652317791,1205.1744019859,1234.8049009274,1263.1302722314,1290.0257797450,1315.3684051586,1339.0368324712,1360.9114257352,1380.8741959207,1398.8087580887,1414.6002809386,1428.1354247483,1439.3022681576,1447.9902186592,1454.0899016176,1457.4930130339,1458.0921174480,1455.7803468712,1450.4509282003,1441.9964133831,1430.3073695630,1415.2701140722,1396.7627294542,1374.6479705993,1348.7604797123,1323.7236913598,1301.6777163980,1282.2428187816,1265.0875259123,1249.9224943939,1236.4951554430,1224.5850408615,1213.9997030731,1204.5711537194
"Atmospheric Temperature ",0.8000000000,0.9264563528,1.0625021234,1.2075367155,1.3609814462,1.5222245402,1.6905962254,1.8653640548,2.0457408335,2.2308994727,2.4199907226,2.6121610588,2.8065690329,3.0023991624,3.1988729789,3.3952572134,3.5908693203,3.7850806614,3.9773177224,4.1646117378,4.3468328205,4.5238551444,4.6955602152,4.8618388108,5.0225918967,5.1777307630,5.3271765817,5.4708595420,5.6087176837,5.7406955229,5.8667425371,5.9868115603,6.1008571182,6.2088337265,6.3106941582,6.4063876811,6.4958582560,6.5790426799,6.6558686515,6.7262527260,6.7900981189,6.8472923048,6.8977043405,6.9411818131,6.9775472750,7.0065939586,7.0280804491,7.0417237939,7.0471901710,7.0440815843,7.0319158098,7.0120625057,6.9865983585,6.9572117167,6.9252634076,6.8918393042,6.8577955946,6.8237976154,6.7903530288,6.7578400503
"Output Net Net) ",63.5819852157,76.0164662676,89.9065360169,105.2803577528,122.1627975300,140.5756266265,160.5376506548,182.0647797340,205.1700479006,229.8635887771,256.1525752590,284.0411320284,313.5302303308,344.6175744898,377.2974890676,411.5608146579,447.3948190393,484.7831291159,523.7056876785,564.1387378192,606.0548365009,649.4228979758,694.2082666416,740.3728183531,787.8750885055,836.6704248163,886.7111622773,937.9468175839,990.3243002715,1043.7881370860,1098.2807069741,1153.7424831353,1210.1122780940,1267.3274882361,1325.3243319181,1384.0380733635,1443.4032201092,1503.3536735934,1563.8227968989,1624.7433355576,1686.0470772174,1747.6640401046,1809.5208140332,1871.5373660068,1933.6210651220,1995.6556583174,2057.4810586105,2118.8563353470,2179.3917187705,2238.4225144753,2295.5410177430,2372.6487832168,2445.4791853952,2515.1226369007,2582.3431218298,2647.6758664632,2711.4946394146,2774.0587794742,2835.5463803083,2899.4700580505
"Climate Damages fraction output",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"Consumption Per Capita ",6.8695163846,7.7829467003,8.7863476879,9.8820822746,11.0728150035,12.3613102886,13.7502933403,15.2423526080,16.8398701874,18.5449714452,20.3594881944,22.2849317375,24.3224733701,26.4729307661,28.7367591776,31.1140467296,33.6045132783,36.2075124448,38.9220364857,41.7467237457,44.6798683924,47.7194322217,50.8630582580,54.1080859191,57.4515674893,60.8902856692,64.4207719430,68.0393255066,71.7420326228,75.5247860147,79.3833042305,83.3131508658,87.3097533110,91.3684212489,95.4843649938,99.6527141526,103.8685377043,108.1268676766,112.4227305348,116.7511936566,121.1074414137,125.4869057516,129.8854986296,134.3000306964,138.7289706690,143.1738260492,147.6416582078,152.1496786513,156.7337032229,161.4639032490,162.2096910428,167.6511127060,172.7908390181,177.7058984629,182.4502420993,187.0616517645,191.5664993866,195.9830721356,200.3239184004,204.8371603848
"Carbon Price (per t CO2)",0.0253914361,0.0327818488,0.0421043447,0.0537855080,0.0683343940,0.0863552883,0.1085620293,0.1357942005,0.1690352324,0.2094325446,0.2583202192,0.3172437499,0.3879878232,0.4726068765,0.5734586491,0.6932413087,0.8350341867,1.0023422310,1.1991449807,1.4299499878,1.6998507830,2.0145911097,2.3806336898,2.8052356928,3.2965308674,3.8636185229,4.5166602739,5.2669845979,6.1272004510,7.1113205450,8.2348932196,9.5151480824,10.9711489074,12.6239622517,14.4968387747,16.6154067523,19.0078840480,21.7053058763,24.7417752230,28.1547388697,31.9853047025,36.2786149764,41.0843268737,46.4572811210,52.4585187569,59.1569956901,66.6326343381,74.9820437997,84.3295763929,94.8492919287,97.0039072053,94.5788095251,92.2143392870,89.9089808048,87.6612562847,85.4697248776,83.3329817557,81.2496572118,79.2184157815,0.0000000000
"Emissions Control Rate",0.0050642602,0.0059191770,0.0068985074,0.0080156833,0.0092856534,0.0107248940,0.0123514423,0.0141849575,0.0162467951,0.0185600911,0.0211498683,0.0240431316,0.0272689890,0.0308587735,0.0348461679,0.0392673443,0.0441611098,0.0495690530,0.0555357084,0.0621087252,0.0693390364,0.0772810614,0.0859928908,0.0955364956,0.1059779502,0.1173876604,0.1298406084,0.1434166040,0.1582005553,0.1742827567,0.1917591711,0.2107317688,0.2313088251,0.2536052808,0.2777431111,0.3038516917,0.3320682203,0.3625381506,0.3954156908,0.4308643708,0.4690577818,0.5101805477,0.5544298403,0.6020178567,0.6531760804,0.7081631299,0.7672792526,0.8308937580,0.8994974925,0.9738048519,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000
