
"This is the DICE-2013 Rocky Road model, version is DICE2013_032813.gms"
"Stern Scenario"

"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000,18.0000000000,19.0000000000,20.0000000000,21.0000000000,22.0000000000,23.0000000000,24.0000000000,25.0000000000,26.0000000000,27.0000000000,28.0000000000,29.0000000000,30.0000000000,31.0000000000,32.0000000000,33.0000000000,34.0000000000,35.0000000000,36.0000000000,37.0000000000,38.0000000000,39.0000000000,40.0000000000,41.0000000000,42.0000000000,43.0000000000,44.0000000000,45.0000000000,46.0000000000,47.0000000000,48.0000000000,49.0000000000,50.0000000000,51.0000000000,52.0000000000,53.0000000000,54.0000000000,55.0000000000,56.0000000000,57.0000000000,58.0000000000,59.0000000000,60.0000000000
"Year",2015.0000000000,2020.0000000000,2025.0000000000,2030.0000000000,2035.0000000000,2040.0000000000,2045.0000000000,2050.0000000000,2055.0000000000,2060.0000000000,2065.0000000000,2070.0000000000,2075.0000000000,2080.0000000000,2085.0000000000,2090.0000000000,2095.0000000000,2100.0000000000,2105.0000000000,2110.0000000000,2115.0000000000,2120.0000000000,2125.0000000000,2130.0000000000,2135.0000000000,2140.0000000000,2145.0000000000,2150.0000000000,2155.0000000000,2160.0000000000,2165.0000000000,2170.0000000000,2175.0000000000,2180.0000000000,2185.0000000000,2190.0000000000,2195.0000000000,2200.0000000000,2205.0000000000,2210.0000000000,2215.0000000000,2220.0000000000,2225.0000000000,2230.0000000000,2235.0000000000,2240.0000000000,2245.0000000000,2250.0000000000,2255.0000000000,2260.0000000000,2265.0000000000,2270.0000000000,2275.0000000000,2280.0000000000,2285.0000000000,2290.0000000000,2295.0000000000,2300.0000000000,2305.0000000000,2310.0000000000
"Industrial Emissions GTCO2 per year",33.1652036207,39.3058241326,45.0250102317,50.4749100959,55.7309318633,60.8238720858,65.7588050501,70.5264774243,75.1102647535,79.4904048044,83.6465342069,87.5591670158,91.2105185157,94.5849290467,97.6690475790,100.4518740027,102.9247205378,105.0811285085,106.9167617233,108.4292885914,109.6182596137,110.4849837171,111.0324050689,111.2649810731,111.1885617870,110.8102707897,110.1383875575,109.1822314000,107.9520471287,106.4588926707,104.7145289023,102.7313119938,100.5220885034,98.1000933492,95.4788505590,92.6720763108,89.6935830673,86.5571824798,83.2765827657,79.8652729729,76.3363809356,72.7024821747,68.9753207270,65.1653750917,61.2811546589,57.3280294144,53.3062510754,49.2075655989,45.0093404013,40.6642048125,36.9669364274,32.5469525526,27.9890312606,23.2235560682,18.1388584204,12.5565648110,6.1857300689,0.0000000000,0.0000000000,130.6565519658
"Atmospheric concentration C (ppm)",389.8591549296,406.3790298599,425.2083816961,446.0040035599,468.5393480385,492.6471037442,518.1871721437,545.0292552824,573.0439600796,602.0988507840,632.0573073585,662.7788975043,694.1204916474,725.9376727045,758.0861903991,790.4233293789,822.8091306945,855.1074461041,887.1868261254,918.9212532624,950.1907360738,980.8817805392,1010.8877542426,1040.1091571820,1068.4538111131,1095.8369775220,1122.1814127070,1147.4173671378,1171.4825351749,1194.3219604134,1215.8879012717,1236.1396609573,1255.0433855651,1272.5718337204,1288.7041208378,1303.4254406383,1316.7267659453,1328.6045297937,1339.0602862637,1348.1003477301,1355.7353906303,1361.9800140678,1366.8522223347,1370.3727798949,1372.5643489302,1373.4502536973,1373.0526027357,1371.3893036001,1368.4691595076,1364.2836157271,1358.7925618985,1352.4664062591,1344.8545670159,1335.9202461359,1325.5834866114,1313.6979938019,1300.0140671857,1284.1152088192,1266.2418047263,1250.4509275094
"Atmospheric Temperature ",0.8000000000,0.9251266766,1.0600614182,1.2048020957,1.3588584811,1.5214529789,1.6916416624,1.8683903936,2.0506252541,2.2372677253,2.4272601831,2.6195846779,2.8132766409,3.0074345179,3.2012260353,3.3938916683,3.5847458176,3.7731761495,3.9586415112,4.1382187868,4.3118347499,4.4794294109,4.6409578405,4.7963910000,4.9457158347,5.0889348358,5.2260652342,5.3571379530,5.4821964145,5.6012952774,5.7144991557,5.8218813606,5.9235226910,6.0195102901,6.1099365802,6.1948982787,6.2744954976,6.3488309230,6.4180090690,6.4821355962,6.5413166829,6.5956584262,6.6452662456,6.6902442377,6.7306944048,6.7667156234,6.7984021285,6.8258411271,6.8491088707,6.8682640065,6.8833360902,6.8945306559,6.9018398113,6.9052325905,6.9046384630,6.8999225568,6.8908469821,6.8770072345,6.8581196477,6.8356467826
"Output Net Net) ",63.5810047923,79.7656055536,96.6684071103,114.6195750062,133.8403838704,154.4808186843,176.6431272354,200.3970511121,225.7898776934,252.8531016591,281.6068101184,312.0625312150,344.2250521586,378.0935550592,413.6623094889,450.9210842569,489.8553878154,530.4466101912,572.6721144165,616.5053085386,661.9157178848,708.8690695806,757.3273961541,807.2491615802,858.5894107806,911.2999420187,965.3295005819,1020.6239914328,1077.1267080316,1134.7785741746,1193.5183953643,1253.2831157950,1314.0080763462,1375.6272677155,1438.0735705224,1501.2789700022,1565.1747253004,1629.6914596966,1694.7591137007,1760.3066595778,1826.2613989776,1892.5475292491,1959.0834232563,2025.7766411880,2092.5149357532,2159.1501593889,2225.4695373686,2291.1442645766,2355.6368030234,2418.0310630444,2476.7641487502,2548.3305920145,2618.1292466693,2686.5126105114,2753.7162043865,2819.8881296370,2885.1061144651,2949.5011363179,3013.6151846418,3080.6467367467
"Climate Damages fraction output",0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"Consumption Per Capita ",6.0403673569,7.2946984420,8.5205005297,9.7633498997,11.0542866286,12.4141518602,13.8570164764,15.3925285309,17.0274353194,18.7665452125,20.6133269504,22.5702798709,24.6391614831,26.8211272008,29.1168166159,31.5264077245,34.0496523627,36.6859010138,39.4341219687,42.2929178452,45.2605412394,48.3349105216,51.5136263130,54.7939888850,58.1730165491,61.6474649881,65.2138474270,68.8684555036,72.6073806981,76.4265361894,80.3216790503,84.2884327647,88.3223101840,92.4187372688,96.5730783687,100.7806644971,105.0368273149,109.3369437328,113.6764999490,118.0511906187,122.4570810230,126.8908816138,131.3504223454,135.8354816407,140.3492449150,144.9008832625,149.5101362456,154.2155186822,159.0892061649,164.2646309499,165.8716985608,170.6572142454,175.3249502943,179.8984660720,184.3934866197,188.8198841928,193.1828210291,197.4910275511,201.7807566568,206.2661287862
"Carbon Price (per t CO2)",1.5717201401,1.9112127625,2.2470449829,2.5912376037,2.9522206313,3.3358721232,3.7463641415,4.1867498321,4.6593470902,5.1659820425,5.7081408307,6.2870629387,6.9037978251,7.5592387995,8.2541429605,8.9891427373,9.7647525057,10.5813724300,11.4392908719,12.3386861807,13.2796283645,14.2620809242,15.2859030237,16.3508520723,17.4565867450,18.6026704549,19.7885752383,21.0136860395,22.2773053462,23.5786581529,24.9168972306,26.2911086970,27.7003179378,29.1434959947,30.6195666750,32.1274148684,33.6658969949,35.2338552526,36.8301386883,38.4536364982,40.1033332176,41.7784030204,43.4783737792,45.2034154495,46.9548502237,48.7360591571,50.5541015783,52.4226293769,54.3671978863,56.4351544845,57.8827940953,60.2143294546,62.6817684670,65.3794747347,68.4460844749,72.0976189865,76.6898071269,81.2496572118,79.2184157815,0.0000000000
"Emissions Control Rate",0.0501069778,0.0566489951,0.0628576050,0.0690005812,0.0752365437,0.0816611488,0.0883332810,0.0952901305,0.1025559689,0.1101472954,0.1180758704,0.1263505091,0.1349781474,0.1439644769,0.1533143251,0.1630318868,0.1731208655,0.1835845637,0.1944259412,0.2056476568,0.2172520987,0.2292414089,0.2416175051,0.2543820997,0.2675367181,0.2810827172,0.2950213021,0.3093535442,0.3240803985,0.3392027205,0.3547212846,0.3706368018,0.3869499392,0.4036613418,0.4207716587,0.4382815777,0.4561918749,0.4745034916,0.4932176612,0.5123361245,0.5318615020,0.5517979500,0.5721523171,0.5929361956,0.6141695665,0.6358872898,0.6581507054,0.6810684914,0.7048345696,0.7297982824,0.7506238622,0.7781420685,0.8069694639,0.8377846870,0.8715664624,0.9098069108,0.9548957440,1.0000000000,1.0000000000,0.0000000000
