
"Results of DICE-2013R model, version DICE2013R_100413_vanilla.gms"
"This is optimal if ifopt = 1 and baseline if ifopt = 0"
"ifopt =",1.0000000000

"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000,18.0000000000,19.0000000000,20.0000000000,21.0000000000,22.0000000000,23.0000000000,24.0000000000,25.0000000000,26.0000000000,27.0000000000,28.0000000000,29.0000000000,30.0000000000,31.0000000000,32.0000000000,33.0000000000,34.0000000000,35.0000000000,36.0000000000,37.0000000000,38.0000000000,39.0000000000,40.0000000000,41.0000000000,42.0000000000,43.0000000000,44.0000000000,45.0000000000,46.0000000000,47.0000000000,48.0000000000,49.0000000000,50.0000000000,51.0000000000,52.0000000000,53.0000000000,54.0000000000,55.0000000000,56.0000000000,57.0000000000,58.0000000000,59.0000000000,60.0000000000
"Year",2015.0000000000,2020.0000000000,2025.0000000000,2030.0000000000,2035.0000000000,2040.0000000000,2045.0000000000,2050.0000000000,2055.0000000000,2060.0000000000,2065.0000000000,2070.0000000000,2075.0000000000,2080.0000000000,2085.0000000000,2090.0000000000,2095.0000000000,2100.0000000000,2105.0000000000,2110.0000000000,2115.0000000000,2120.0000000000,2125.0000000000,2130.0000000000,2135.0000000000,2140.0000000000,2145.0000000000,2150.0000000000,2155.0000000000,2160.0000000000,2165.0000000000,2170.0000000000,2175.0000000000,2180.0000000000,2185.0000000000,2190.0000000000,2195.0000000000,2200.0000000000,2205.0000000000,2210.0000000000,2215.0000000000,2220.0000000000,2225.0000000000,2230.0000000000,2235.0000000000,2240.0000000000,2245.0000000000,2250.0000000000,2255.0000000000,2260.0000000000,2265.0000000000,2270.0000000000,2275.0000000000,2280.0000000000,2285.0000000000,2290.0000000000,2295.0000000000,2300.0000000000,2305.0000000000,2310.0000000000
"Industrial Emissions GTCO2 per year",33.5538267858,31.9037280994,34.8254382231,37.5464047065,40.0004683602,42.1286366505,43.8788676522,45.2058609395,46.0708601888,46.4414659023,46.2914553003,45.6006067436,44.3545270019,42.5444798747,40.1672144682,37.2247889017,33.7243800077,29.6780591711,25.1024955058,20.0172732461,14.4490237012,8.4319938764,2.0099443267,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-29.2010919996,-29.4065376004,-29.5866994487,-29.7384417598,-29.8598731039,-29.9499422356,-30.0081903841,-30.0345949517,-30.0294661103,-29.9933736349,-29.9270905219,-29.8315449396,-29.7077743051,-29.5568754205,-29.3799426981,-29.1779819940,-28.9517790254,-28.7016859001,-28.4272614923,-28.1266503011,-27.7954868043,-27.4249137331,-27.2681624904,-27.0417912295,-24.5281733016,-7.5940465300,11.7423451847,33.3345952760,57.2637657433,83.9975736796,122.9033127622
"Atmospheric concentration C (ppm)",389.8591549296,406.6278735454,420.6956074742,435.3581897234,450.5375523413,466.1071800485,481.9033807442,497.7347332147,513.3900292897,528.6449732410,543.2678532047,557.0243593634,569.6816910234,581.0120685811,590.7957450659,598.8235943099,604.8993366542,608.8414462966,610.4847633934,609.6818035384,606.3029140603,600.2391093472,591.4050701580,579.7431542037,568.2775189666,558.2204151389,549.3933154910,541.6403033000,534.8252145763,528.8291403081,504.8501627790,483.0095705117,463.0480900188,444.7420275141,427.8980315426,412.3487479517,397.9491639424,384.5735014600,372.1125602803,360.4714369648,349.5675630812,339.3290182529,329.6930829998,320.6050046099,312.0169578717,303.8871930920,296.1793788503,288.8621704791,281.9090745114,275.2987479275,269.0159962977,263.0539767417,257.2455360268,251.6208876603,247.6281320657,254.3577544461,272.4102300581,302.2753728038,344.4882849007,399.8731174699
"Atmospheric Temperature ",0.8000000000,0.9254555636,1.0546127775,1.1871206413,1.3225498389,1.4603630096,1.5999095108,1.7404353217,1.8811011525,2.0210038403,2.1591977202,2.2947139130,2.4265763792,2.5538142318,2.6754702148,2.7906054982,2.8983010577,2.9976559330,3.0877826026,3.1653496038,3.2298063720,3.2805390680,3.3168640064,3.3380196028,3.3460479050,3.3438784219,3.3339277437,3.3181773424,3.2982409724,3.2754228832,3.2312291333,3.1697437938,3.0944017023,3.0080828411,2.9131938236,2.8117382726,2.7053775785,2.5954832922,2.4831822313,2.3693952363,2.2548703949,2.1402114595,2.0259020988,1.9123265626,1.7997872869,1.6885199384,1.5787063978,1.4704862282,1.3639673037,1.2592365420,1.1563722184,1.0554603817,0.9562586574,0.8586325991,0.7656322062,0.6996060609,0.6792746385,0.7174188607,0.8203667237,0.9891179906
"Output Net Net) ",63.4728519038,75.6785219887,89.3187024471,104.3876944504,120.8905080162,138.8285099192,158.1995003259,178.9979120963,201.2151395238,224.8399866349,249.8592161838,276.2581751857,304.0214687999,333.1336491535,363.5798762264,395.3464884169,428.4213807424,462.7940089386,498.4546804022,535.4153269637,573.6726633215,613.2113691686,653.9905976276,696.8612523549,741.6962203778,788.2006295963,836.3154402588,886.0341651970,937.4355364227,985.0149939222,1037.6159303254,1092.0493096696,1148.1261823244,1205.6780855069,1264.5501502249,1324.5972879854,1385.6821457984,1447.6740192753,1510.4482212532,1573.8855788807,1637.8718082906,1702.2965067051,1767.0513932955,1832.0271804941,1897.1079732470,1962.1611978888,2027.0194142444,2091.4473192363,2155.0815136092,2217.3194473695,2277.1110801940,2355.9094464148,2430.4328874201,2502.0052834791,2572.5931002523,2640.9162537217,2706.9610520979,2770.6678142323,2831.8712841581,2890.2695331576
"Climate Damages fraction output",0.0017088000,0.0022867696,0.0029695957,0.0037627120,0.0046701987,0.0056942025,0.0068344269,0.0080877373,0.0094479059,0.0109054989,0.0124478999,0.0140594509,0.0157216887,0.0174136522,0.0191122361,0.0207925691,0.0224283979,0.0239924627,0.0254568517,0.0267518998,0.0278525034,0.0287343707,0.0293742369,0.0297501409,0.0298934177,0.0298546661,0.0296772481,0.0293975033,0.0290453107,0.0286448148,0.0278770474,0.0268262262,0.0255661095,0.0241596616,0.0226594843,0.0211086785,0.0195419111,0.0179865445,0.0164637380,0.0149894702,0.0135754561,0.0122299486,0.0109584258,0.0097641710,0.0086487555,0.0076124359,0.0066544781,0.0057734204,0.0049672862,0.0042337567,0.0035703152,0.0029743710,0.0024415298,0.0019684573,0.0015651344,0.0013068279,0.0012319755,0.0013742218,0.0017969142,0.0026122062
"Consumption Per Capita ",6.8775894682,7.7720831212,8.7557768595,9.8289162136,10.9922917215,12.2469051921,13.5937558619,15.0337083410,16.5674179795,18.1952976438,19.9175151332,21.7340138742,23.6445519661,25.6487567006,27.7461940036,29.9364555736,32.2192722232,34.5946724253,37.0632249270,39.6270349287,42.2893828558,45.0558338014,47.9362124856,50.9475381396,54.0859856524,57.3382794167,60.6900995429,64.1228679577,67.6086808846,71.1618917287,74.8696259865,78.7139802053,82.6801868388,86.7554316904,90.9281672681,95.1877238757,99.5240973299,103.9278409726,108.3900210590,112.9022163676,117.4565596884,122.0458361959,126.6636765103,131.3049188748,135.9662781312,140.6475734647,145.3539749151,150.1001161859,154.9176585947,159.8693537015,160.9073773605,166.4683129336,171.7277089507,176.7790923338,181.7613740003,186.5840765671,191.2462024407,195.7435055516,200.0642824917,204.1871762997
"Carbon Price (per t CO2)",1.0000000000,17.7348265802,21.1558248250,25.0217230519,29.3478216524,34.1484909092,39.4368624453,45.2245427503,51.5213323418,58.3349416136,65.6706978578,73.5312400015,81.9161984534,90.8218602740,100.2408233791,110.1616535118,120.5685760780,131.4412707756,142.7549042896,154.4840102194,166.5915848430,179.0262462186,191.7187904421,192.1607139532,187.3566961043,182.6727787017,178.1059592342,173.6533102533,169.3119774970,229.2020727148,223.4720208970,217.8852203745,212.4380898652,207.1271376185,201.9489591781,196.9002351986,191.9777293187,187.1782860857,182.4988289336,177.9363582102,173.4879492550,169.1507505236,164.9219817605,160.7989322165,156.7789589111,152.8594849383,149.0379978148,145.3120478695,141.6792466727,138.1372655059,134.6838338683,131.3167380216,128.0338195710,121.7209915558,96.9289783964,72.1333496750,48.5948331515,27.5760207615,10.6255518611,0.0000000000
"Emissions Control Rate",0.0389763230,0.1952999625,0.2184579923,0.2432032654,0.2694976491,0.2973148927,0.3266363892,0.3574481205,0.3897383805,0.4234960113,0.4587089775,0.4953631634,0.5334413087,0.5729220350,0.6137789352,0.6559797404,0.6994856333,0.7442508776,0.7902231145,0.8373550874,0.8855712358,0.9347613363,0.9847725633,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.1832873619,1.0574205525,0.9100573771,0.7410951743,0.5486348191,0.3275607500,0.0000000000
