
"Results of DICE-2016R2 model"
"This is optimal if ifopt = 1 and baseline if ifopt = 0"
"ifopt =",0.0000000000

"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000,18.0000000000,19.0000000000,20.0000000000,21.0000000000,22.0000000000,23.0000000000,24.0000000000,25.0000000000,26.0000000000,27.0000000000,28.0000000000,29.0000000000,30.0000000000,31.0000000000,32.0000000000,33.0000000000,34.0000000000,35.0000000000,36.0000000000,37.0000000000,38.0000000000,39.0000000000,40.0000000000,41.0000000000,42.0000000000,43.0000000000,44.0000000000,45.0000000000,46.0000000000,47.0000000000,48.0000000000,49.0000000000,50.0000000000,51.0000000000,52.0000000000,53.0000000000,54.0000000000,55.0000000000,56.0000000000,57.0000000000,58.0000000000,59.0000000000,60.0000000000,61.0000000000,62.0000000000,63.0000000000,64.0000000000,65.0000000000,66.0000000000,67.0000000000,68.0000000000,69.0000000000,70.0000000000,71.0000000000,72.0000000000,73.0000000000,74.0000000000,75.0000000000,76.0000000000,77.0000000000,78.0000000000,79.0000000000,80.0000000000,81.0000000000,82.0000000000,83.0000000000,84.0000000000,85.0000000000,86.0000000000,87.0000000000,88.0000000000,89.0000000000,90.0000000000,91.0000000000,92.0000000000,93.0000000000,94.0000000000,95.0000000000,96.0000000000,97.0000000000,98.0000000000,99.0000000000,100.0000000000
"Year",2015.0000000000,2020.0000000000,2025.0000000000,2030.0000000000,2035.0000000000,2040.0000000000,2045.0000000000,2050.0000000000,2055.0000000000,2060.0000000000,2065.0000000000,2070.0000000000,2075.0000000000,2080.0000000000,2085.0000000000,2090.0000000000,2095.0000000000,2100.0000000000,2105.0000000000,2110.0000000000,2115.0000000000,2120.0000000000,2125.0000000000,2130.0000000000,2135.0000000000,2140.0000000000,2145.0000000000,2150.0000000000,2155.0000000000,2160.0000000000,2165.0000000000,2170.0000000000,2175.0000000000,2180.0000000000,2185.0000000000,2190.0000000000,2195.0000000000,2200.0000000000,2205.0000000000,2210.0000000000,2215.0000000000,2220.0000000000,2225.0000000000,2230.0000000000,2235.0000000000,2240.0000000000,2245.0000000000,2250.0000000000,2255.0000000000,2260.0000000000,2265.0000000000,2270.0000000000,2275.0000000000,2280.0000000000,2285.0000000000,2290.0000000000,2295.0000000000,2300.0000000000,2305.0000000000,2310.0000000000,2315.0000000000,2320.0000000000,2325.0000000000,2330.0000000000,2335.0000000000,2340.0000000000,2345.0000000000,2350.0000000000,2355.0000000000,2360.0000000000,2365.0000000000,2370.0000000000,2375.0000000000,2380.0000000000,2385.0000000000,2390.0000000000,2395.0000000000,2400.0000000000,2405.0000000000,2410.0000000000,2415.0000000000,2420.0000000000,2425.0000000000,2430.0000000000,2435.0000000000,2440.0000000000,2445.0000000000,2450.0000000000,2455.0000000000,2460.0000000000,2465.0000000000,2470.0000000000,2475.0000000000,2480.0000000000,2485.0000000000,2490.0000000000,2495.0000000000,2500.0000000000,2505.0000000000,2510.0000000000
"Industrial Emissions GTCO2 per year",35.7447136501,39.3835612843,42.9314806886,46.3496925288,49.6059629916,52.6740582239,55.5331229837,58.1670384862,60.5637962566,62.7149108422,64.6148838642,66.2607244678,67.6515261040,68.7880961105,69.6726321335,70.3084374188,70.6996646989,70.8510748527,70.7677903534,70.4568527484,69.9251334921,69.1793906937,68.2262792585,67.0723363157,65.7239546250,64.1873511778,62.4685349929,60.5732762754,58.5070781077,56.2751513566,53.8823933638,51.3333710738,48.6323095716,45.7830874662,42.7892410446,39.6539792966,36.3802110120,32.9705811763,29.4275023553,25.7531387493,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,10.6893890077
"Atmospheric concentration C (ppm)",399.5305164319,418.4684293752,438.3111961224,459.1486564707,481.0061693830,503.8642949028,527.6726998105,552.3600139087,577.8408365501,604.0207300982,630.7997861195,658.0751758513,685.7429748797,713.6994666318,741.8420690353,770.0699856987,798.2846516592,826.3900199375,854.2927153444,881.9020627861,909.1311529868,935.8964774111,962.1176956826,987.7174701275,1012.6213310838,1036.7575532615,1060.0570328778,1082.4531605718,1103.8816880261,1124.2805878525,1143.5899072340,1161.7516164634,1178.7094540874,1194.4087710297,1208.7963769406,1221.8203931077,1233.4301173556,1243.5759067959,1252.2090821873,1259.2818484898,1264.7472001852,1254.5041524083,1246.7656003537,1240.7321433295,1235.8605094322,1231.7814906286,1228.2441715014,1225.0780271904,1222.1671652458,1219.4328204877,1216.8214586048,1214.2966914487,1211.8337827496,1209.4159142757,1207.0316483833,1204.6732036278,1202.3352829245,1200.0142772151,1197.7077243253,1195.4139412426,1193.1317742480,1190.8604291361,1188.5993558606,1186.3481701638,1184.1066003373,1181.8744510604,1179.6515788409,1177.4378753402,1175.2332560539,1173.0376526312,1170.8510076655,1168.6732711627,1166.5043981497,1164.3443470564,1162.1930786214,1160.0505551553,1157.9167400435,1155.7915974136,1153.6750919127,1151.5671885595,1149.4678526466,1147.3770496770,1145.2947453228,1143.2209053991,1141.1554958485,1139.0984827317,1137.0498322220,1135.0095106039,1132.9774842718,1130.9537197307,1128.9381835976,1126.9308426024,1124.9316635898,1122.9406135202,1120.9576594716,1118.9827686407,1117.0159083440,1115.0570460186,1113.1061492233,1111.1631856393
"Atmospheric Temperature ",0.8500000000,1.0163451841,1.1892366319,1.3679298425,1.5517465156,1.7400208366,1.9320773887,2.1272272709,2.3247738114,2.5240224993,2.7242919179,2.9249238809,3.1252918835,3.3248075398,3.5229250096,3.7191435930,3.9130087533,4.1041118500,4.2891329659,4.4681295025,4.6411501611,4.8082386451,4.9694361548,5.1247829929,5.2743195136,5.4180865815,5.5561256682,5.6884786813,5.8151875972,5.9362939523,6.0518382330,6.1618591945,6.2663931296,6.3654731032,6.4591281622,6.5473825285,6.6302547792,6.7077570172,6.7798940315,6.8466624439,6.9080498178,6.9580871125,6.9992590683,7.0334053613,7.0619040677,7.0858012332,7.1059022241,7.1228362133,7.1371018715,7.1490999308,7.1591565773,7.1675404176,7.1744749255,7.1801476903,7.1847173830,7.1883190829,7.1910684090,7.1930647738,7.1943939798,7.1951303215,7.1953383051,7.1950740708,7.1943865811,7.1933186198,7.1919076379,7.1901864739,7.1881839698,7.1859254995,7.1834334238,7.1807274830,7.1778251355,7.1747418519,7.1714913695,7.1680859125,7.1645363841,7.1608525327,7.1570430968,7.1531159308,7.1490781146,7.1449360485,7.1406955366,7.1363618588,7.1319398341,7.1274338749,7.1228480352,7.1181860522,7.1134513829,7.1086472354,7.1037765969,7.0988422582,7.0938468342,7.0887927829,7.0836824215,7.0785179406,7.0733014165,7.0680348223,7.0627200374,7.0573588557,7.0519529934,7.0465040954
"Output Net Net) ",104.9972369966,125.0404455461,147.2765228512,171.7445072584,198.4766099063,227.4988522947,258.8315556083,292.4897211404,328.4833350015,366.8176232524,407.4932762343,450.5066533886,495.8499718399,543.5114722267,593.4755409085,645.7227435280,700.2296808042,756.9684940081,815.9567521198,877.1875088050,940.6499495962,1006.3303708561,1074.2128855636,1144.2799559883,1216.5128194996,1290.8918518379,1367.3968987892,1446.0076004975,1526.7037322543,1609.4655923016,1694.2744858832,1781.1133915367,1869.9679673200,1960.8281891479,2053.6911631735,2148.5661138135,2245.4833959224,2344.5109238486,2445.7841868503,2549.5609584000,2653.0172155791,2760.2096023920,2869.3806165685,2980.5805564236,3093.7746287626,3208.8812742303,3325.7946053556,3444.3972920085,3564.5677652450,3686.1841060638,3809.1260187298,3933.2757718463,4058.5185683306,4184.7425493587,4311.8388208425,4439.7014076441,4568.2271362530,4697.3154605144,4826.8685460179,4956.7912063795,5086.9909464956,5217.3777821643,5347.8645806645,5478.3664759038,5608.8017916636,5739.0913486187,5869.1584402586,5998.9297815619,6128.3337544744,6257.3026288662,6385.7702609877,6513.6739939563,6640.9534415169,6767.5508976761,6893.4110736690,7018.4803525666,7142.7068296542,7266.0396411942,7388.4270042161,7509.8138469971,7630.1375636390,7749.3198680903,7867.2534048290,7983.7779025130,8098.6362869274,8211.4007894523,8321.3363401457,8427.1684461398,8526.6401097568,8615.7202159989,8687.0597737366,9004.5869507372,9260.2558218045,9472.5013719200,9653.8459688508,9812.9367027948,9955.8123735685,10086.7232901016,10208.6773361048,10323.9958492816
"Climate Damages fraction output",0.0017051000,0.0024377798,0.0033377097,0.0044161076,0.0056826847,0.0071453071,0.0088096984,0.0106792262,0.0127547929,0.0150348274,0.0175153688,0.0201902241,0.0230511805,0.0260882546,0.0292899615,0.0326435886,0.0361354645,0.0397512124,0.0434161214,0.0471154678,0.0508350486,0.0545612149,0.0582808978,0.0619816257,0.0656515333,0.0692793628,0.0728544566,0.0763667437,0.0798067200,0.0831654227,0.0864344006,0.0896056806,0.0926717315,0.0956254249,0.0984599944,0.1011689944,0.1037462571,0.1061858499,0.1084820329,0.1106292164,0.1126219194,0.1142593440,0.1156155209,0.1167463467,0.1176943542,0.1184922467,0.1191654775,0.1197341179,0.1202142066,0.1206187264,0.1209583140,0.1212417801,0.1214764935,0.1216686692,0.1218235867,0.1219457577,0.1220390571,0.1221068268,0.1221519592,0.1221769648,0.1221840282,0.1221750545,0.1221517079,0.1221154453,0.1220675437,0.1220091244,0.1219411735,0.1218645597,0.1217800492,0.1216883194,0.1215899699,0.1214855327,0.1213754808,0.1212602353,0.1211401726,0.1210156292,0.1208869075,0.1207542793,0.1206179902,0.1204782623,0.1203352973,0.1201892790,0.1200403753,0.1198887402,0.1197345154,0.1195778315,0.1194188098,0.1192575626,0.1190941950,0.1189288049,0.1187614845,0.1185923202,0.1184213937,0.1182487823,0.1180745593,0.1178987943,0.1177215538,0.1175429011,0.1173628968,0.1171815991
"Consumption Per Capita ",10.5017787175,11.8423318941,13.3042394401,14.8918778062,16.6095183364,18.4611997624,20.4506361783,22.5811515167,24.8556345845,27.2765106013,29.8457263931,32.5647472615,35.4345643202,38.4557120483,41.6282972935,44.9520436087,48.4263597579,52.0504506423,55.8247377880,59.7490579488,63.8228027404,68.0450175181,72.4144739520,76.9297254929,81.5891515553,86.3909939997,91.3333879415,96.4143876602,101.6319872156,106.9841336295,112.4687280533,118.0836056390,123.8264764347,129.6947941322,135.6854910875,141.7944649652,148.0156054847,154.3389747975,160.7474362699,167.2104738717,174.1092419802,181.1061174907,188.2214796160,195.4630516694,202.8311923352,210.3220924458,217.9296785904,225.6467282251,233.4655072564,241.3781281790,249.3767365984,257.4536093452,265.6012129221,273.8121950979,282.0793946068,290.3958508971,298.7548111948,307.1496854080,315.5740728572,324.0217444377,332.4866812178,340.9629859051,349.4450428066,357.9272576968,366.4043428409,374.8711933467,383.3227242593,391.7543378781,400.1612275851,408.5391727181,416.8837927410,425.1911019663,433.4572135299,441.6784578760,449.8514577668,457.9729810483,466.0400597525,474.0501953750,482.0013942545,489.8924460850,497.7235171658,505.4969102193,513.2186281471,520.9013982519,528.5690466733,536.2658721861,544.0702529319,552.1252473025,560.6853562889,570.2135141275,533.9937438022,553.5566779768,569.3201312909,582.4166676487,593.6156410763,603.4483395838,612.2858109867,620.3892210825,627.9433982862,635.0956897357
"Carbon Price (per t CO2)",2.0000000000,2.2081616064,2.4379888400,2.6917366766,2.9718947920,3.2812119889,3.6227231682,3.9997791053,4.4160793272,4.8757084106,5.3831760581,5.9434613460,6.5620615767,7.2450462163,7.9991164457,8.8316709103,9.7508783122,10.7657575588,11.8862662526,13.1233983912,14.4892922365,15.9973494103,17.6623663860,19.5006796658,21.5303260684,23.7712196988,26.2453473381,28.9769841693,31.9929319559,35.3227820106,38.9992055335,43.0582741696,47.5398139296,52.4877959474,57.9507679078,63.9823303777,70.6416627140,77.9941037086,86.1117926675,95.0743772133,199.7778419383,194.7833958899,189.9138109926,185.1659657178,180.5368165749,176.0233961605,171.6228112565,167.3322409751,163.1489349507,159.0702115769,155.0934562875,151.2161198803,147.4357168833,143.7498239612,140.1560783622,136.6521764031,133.2358719931,129.9049751932,126.6573508134,123.4909170431,120.4036441170,117.3935530141,114.4587141887,111.5972463340,108.8073151756,106.0871322963,103.4349539889,100.8490801391,98.3278531357,95.8696568073,93.4729153871,91.1360925024,88.8576901898,86.6362479351,84.4703417367,82.3585831933,80.2996186135,78.2921281481,76.3348249444,74.4264543208,72.5657929628,70.7516481387,68.9828569353,67.2582855119,65.5768283741,63.9374076647,62.3389724731,60.7804981613,59.2609857072,57.7794610646,56.3349745380,54.9266001745,53.5534351701,52.2145992909,50.9092343086,49.6365034509,48.3955908646,47.1857010930,46.0060585657,0.0000000000
"Emissions Control Rate",0.0298825095,0.0322971885,0.0349069875,0.0377276733,0.0407762867,0.0440712457,0.0476324563,0.0514814333,0.0556414299,0.0601375781,0.0649970410,0.0702491765,0.0759257149,0.0820609502,0.0886919480,0.0958587685,0.1036047095,0.1119765672,0.1210249192,0.1308044302,0.1413741821,0.1527980308,0.1651449923,0.1784896595,0.1929126527,0.2085011069,0.2253491981,0.2435587121,0.2632396598,0.2845109415,0.3075010653,0.3323489237,0.3592046322,0.3882304368,0.4196016936,0.4535079289,0.4901539833,0.5297612502,0.5725690125,0.6188358887,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000
