
"Results of DICE-2016R2 model"
"This is optimal if ifopt = 1 and baseline if ifopt = 0"
"ifopt =",1.0000000000

"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000,18.0000000000,19.0000000000,20.0000000000,21.0000000000,22.0000000000,23.0000000000,24.0000000000,25.0000000000,26.0000000000,27.0000000000,28.0000000000,29.0000000000,30.0000000000,31.0000000000,32.0000000000,33.0000000000,34.0000000000,35.0000000000,36.0000000000,37.0000000000,38.0000000000,39.0000000000,40.0000000000,41.0000000000,42.0000000000,43.0000000000,44.0000000000,45.0000000000,46.0000000000,47.0000000000,48.0000000000,49.0000000000,50.0000000000,51.0000000000,52.0000000000,53.0000000000,54.0000000000,55.0000000000,56.0000000000,57.0000000000,58.0000000000,59.0000000000,60.0000000000,61.0000000000,62.0000000000,63.0000000000,64.0000000000,65.0000000000,66.0000000000,67.0000000000,68.0000000000,69.0000000000,70.0000000000,71.0000000000,72.0000000000,73.0000000000,74.0000000000,75.0000000000,76.0000000000,77.0000000000,78.0000000000,79.0000000000,80.0000000000,81.0000000000,82.0000000000,83.0000000000,84.0000000000,85.0000000000,86.0000000000,87.0000000000,88.0000000000,89.0000000000,90.0000000000,91.0000000000,92.0000000000,93.0000000000,94.0000000000,95.0000000000,96.0000000000,97.0000000000,98.0000000000,99.0000000000,100.0000000000
"Year",2015.0000000000,2020.0000000000,2025.0000000000,2030.0000000000,2035.0000000000,2040.0000000000,2045.0000000000,2050.0000000000,2055.0000000000,2060.0000000000,2065.0000000000,2070.0000000000,2075.0000000000,2080.0000000000,2085.0000000000,2090.0000000000,2095.0000000000,2100.0000000000,2105.0000000000,2110.0000000000,2115.0000000000,2120.0000000000,2125.0000000000,2130.0000000000,2135.0000000000,2140.0000000000,2145.0000000000,2150.0000000000,2155.0000000000,2160.0000000000,2165.0000000000,2170.0000000000,2175.0000000000,2180.0000000000,2185.0000000000,2190.0000000000,2195.0000000000,2200.0000000000,2205.0000000000,2210.0000000000,2215.0000000000,2220.0000000000,2225.0000000000,2230.0000000000,2235.0000000000,2240.0000000000,2245.0000000000,2250.0000000000,2255.0000000000,2260.0000000000,2265.0000000000,2270.0000000000,2275.0000000000,2280.0000000000,2285.0000000000,2290.0000000000,2295.0000000000,2300.0000000000,2305.0000000000,2310.0000000000,2315.0000000000,2320.0000000000,2325.0000000000,2330.0000000000,2335.0000000000,2340.0000000000,2345.0000000000,2350.0000000000,2355.0000000000,2360.0000000000,2365.0000000000,2370.0000000000,2375.0000000000,2380.0000000000,2385.0000000000,2390.0000000000,2395.0000000000,2400.0000000000,2405.0000000000,2410.0000000000,2415.0000000000,2420.0000000000,2425.0000000000,2430.0000000000,2435.0000000000,2440.0000000000,2445.0000000000,2450.0000000000,2455.0000000000,2460.0000000000,2465.0000000000,2470.0000000000,2475.0000000000,2480.0000000000,2485.0000000000,2490.0000000000,2495.0000000000,2500.0000000000,2505.0000000000,2510.0000000000
"Industrial Emissions GTCO2 per year",35.7403846239,33.0919152739,35.0931563623,36.7378384540,37.9873312380,38.8110689239,39.1858812023,39.0952824083,38.5287638341,37.4811173102,35.9518050004,33.9443805708,31.4659585968,28.5267211229,25.1394405812,21.3189835337,17.0817356815,12.4448477165,7.4239143086,2.0350798885,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,10.7072531890
"Atmospheric concentration C (ppm)",399.5305164319,418.4656574075,434.2800819163,450.5821648474,467.2181182092,484.0140623184,500.7825910660,517.3278759044,533.4496586845,548.9463952525,563.6177467313,577.2665663905,589.7004923027,600.7332256717,610.1855485822,617.8861094840,623.6719753026,627.3889091047,628.8912712748,628.0405635732,624.7055867847,621.1349824307,618.4449541290,616.3529916635,614.6672684961,613.2575670522,612.0355217777,610.9411943064,609.9339517081,608.9862689121,608.0795182226,607.2011091050,606.3425454752,605.4981063997,604.6639503564,603.8375072466,603.0170658789,602.2014942164,601.3900497831,600.5822512812,599.7777917549,598.9764799401,598.1782007300,597.3828885916,596.5905097533,595.8010503232,595.0145084121,594.2308889558,593.4502003510,592.6724523069,591.8976545059,591.1258158016,590.3569437684,589.5910444795,588.8281224310,588.0681805559,587.3112202917,586.5572416785,585.8062434710,585.0582232550,584.3131775624,583.5711019811,582.8319912574,582.0958393907,581.3626397193,580.6323849986,579.9050674713,579.1806789297,578.4592107722,577.7406540533,577.0249995276,576.3122376901,575.6023588104,574.8953529643,574.1912100612,573.4899198685,572.7914720331,572.0958561006,571.4030615320,570.7130777188,570.0258939963,569.3414996549,568.6598839509,567.9810361150,567.3049453609,566.6316008920,565.9609919079,565.2931076096,564.6279372049,563.9654699121,563.3056949641,562.6486016115,561.9941791259,561.3424168019,560.6933039599,560.0468299477,559.4029841422,558.7617559513,558.1231348147,557.4871102054
"Atmospheric Temperature ",0.8500000000,1.0163416484,1.1843019348,1.3535752054,1.5237072347,1.6941184396,1.8641312681,2.0329975903,2.1999236068,2.3640909753,2.5246736425,2.6808503645,2.8318131791,2.9767722212,3.1149573045,3.2456166454,3.3680130118,3.4814174315,3.5821445021,3.6698306966,3.7440357885,3.8062746161,3.8588252877,3.9034363839,3.9414688887,3.9739972016,4.0018812520,4.0258182875,4.0463803738,4.0640418291,4.0791995379,4.0921881963,4.1032919176,4.1127532005,4.1207799622,4.1275511334,4.1332211701,4.1379237372,4.1417747480,4.1448748969,4.1473117882,4.1491617353,4.1504912921,4.1513585621,4.1518143209,4.1519029825,4.1516634330,4.1511297514,4.1503318329,4.1492959304,4.1480451229,4.1465997241,4.1449776355,4.1431946551,4.1412647446,4.1392002628,4.1370121685,4.1347101968,4.1323030130,4.1297983465,4.1272031078,4.1245234896,4.1217650560,4.1189328192,4.1160313073,4.1130646228,4.1100364937,4.1069503184,4.1038092047,4.1006160036,4.0973733393,4.0940836349,4.0907491354,4.0873719271,4.0839539555,4.0804970398,4.0770028869,4.0734731025,4.0699092016,4.0663126171,4.0626847082,4.0590267670,4.0553400245,4.0516256560,4.0478847860,4.0441184923,4.0403278095,4.0365137324,4.0326772190,4.0288191929,4.0249405457,4.0210421390,4.0171248062,4.0131893543,4.0092365652,4.0052671971,4.0012819856,3.9972816450,3.9932668692,3.9892383324
"Output Net Net) ",104.9972283113,125.0093767801,147.2425872147,171.7067899756,198.4386768456,227.4704484968,258.8307987893,292.5458061730,328.6397527329,367.1358840411,408.0571118067,451.4266432904,497.2684897163,545.6077464592,596.4704230451,649.8823761655,705.8664576561,764.4361208156,825.6246562252,889.3995585857,956.9041313635,1028.1937539375,1102.8237091249,1180.7180423530,1261.8205347879,1346.0858853834,1433.4738968424,1523.9456543237,1617.4610313798,1713.9770848812,1813.4470498247,1915.8197421668,2021.0392421141,2129.0447718961,2239.7707101695,2353.1467029825,2469.0978439216,2587.5449038134,2708.4045959179,2831.5898666240,2957.0102035849,3084.5719556371,3214.1786599409,3345.7313719963,3479.1289970489,3614.2686175405,3751.0458177901,3889.3550014655,4029.0897019181,4170.1428829660,4312.4072291943,4455.7754273958,4600.1404316763,4745.3957203567,4891.4355376224,5038.1551219170,5185.4509202582,5333.2207897258,5481.3641843339,5629.7823278647,5778.3783715170,5927.0575391298,6075.7272619202,6224.2972924785,6372.6798140624,6520.7895234919,6668.5437052527,6815.8623491887,6962.6681421064,7108.8865210667,7254.4457155664,7399.2767638383,7543.3134664900,7686.4923629649,7828.7526086981,7970.0357514899,8110.2854577116,8249.4468439323,8387.4653408606,8524.2849315729,8659.8446916386,8794.0731526004,8926.8778739568,9058.1274452588,9187.6203525916,9315.0283290526,9439.7978400827,9560.9754621660,9676.8925538469,9784.5974550841,9878.7913639091,10107.0772520425,10303.1744749452,10476.0489647831,10631.9661491932,10775.3376673994,10909.2863188146,11036.0308656404,11157.1520460523,11273.9631478741
"Climate Damages fraction output",0.0017051000,0.0024377628,0.0033100677,0.0043239114,0.0054791736,0.0067732880,0.0082009655,0.0097540669,0.0114216067,0.0131898657,0.0150425857,0.0169612225,0.0189252315,0.0209123679,0.0228989833,0.0248603047,0.0267706875,0.0286038309,0.0302829518,0.0317836713,0.0330820174,0.0341910344,0.0351416569,0.0359588848,0.0366630177,0.0372706629,0.0377955264,0.0382490224,0.0386407381,0.0389787889,0.0392700905,0.0395205700,0.0397353308,0.0399187838,0.0400747529,0.0402065609,0.0403171007,0.0404088943,0.0404841434,0.0405447715,0.0405924604,0.0406286817,0.0406547240,0.0406717159,0.0406806467,0.0406823842,0.0406776899,0.0406672326,0.0406516002,0.0406313099,0.0406068169,0.0405785227,0.0405467815,0.0405119062,0.0404741739,0.0404338300,0.0403910925,0.0403461551,0.0402991905,0.0402503531,0.0401997810,0.0401475979,0.0400939153,0.0400388339,0.0399824444,0.0399248294,0.0398660640,0.0398062166,0.0397453500,0.0396835218,0.0396207851,0.0395571891,0.0394927792,0.0394275979,0.0393616846,0.0392950764,0.0392278080,0.0391599122,0.0390914197,0.0390223600,0.0389527606,0.0388826480,0.0388120472,0.0387409823,0.0386694761,0.0385975507,0.0385252272,0.0384525257,0.0383794659,0.0383060664,0.0382323455,0.0381583205,0.0380840084,0.0380094256,0.0379345877,0.0378595102,0.0377842078,0.0377086949,0.0376329855,0.0375570930
"Consumption Per Capita ",10.4871421780,11.8247202878,13.2822665832,14.8643293005,16.5753654065,18.4196564001,20.4012560180,22.5239628638,24.7913134678,27.2065931134,29.7728634820,32.4930083931,35.3698026033,38.4060154135,41.6045739471,44.9688364153,48.5030756509,52.2133712504,56.1103242653,60.2105084119,64.5414237670,69.1071774314,73.8986567417,78.9096096425,84.1354913530,89.5727199535,95.2181951853,101.0689878305,107.1221403982,113.3745409148,119.8228451451,126.4634310694,133.2923751058,140.3054430162,147.4980909203,154.8654731938,162.4024551813,170.1036292319,177.9633329708,185.9756691730,194.1345265966,202.4336014103,210.8664190192,219.4263556979,228.1066605650,236.9004767187,245.8008624216,254.8008115012,263.8932733471,273.0711722049,282.3274253264,291.6549614705,301.0467370854,310.4957527880,319.9950685430,329.5378180457,339.1172219655,348.7266005826,358.3593854121,368.0091301284,377.6695201427,387.3343810405,396.9976879498,406.6535713277,416.2963257347,425.9204147122,435.5204662857,445.0912970837,454.6279024615,464.1254594697,473.5793317219,482.9850796514,492.3384550106,501.6354160500,510.8721410534,520.0450314656,529.1507723719,538.1863988976,547.1493819773,556.0378865762,564.8510845700,573.5898789766,582.2580259018,590.8640840540,599.4252583846,607.9735848302,616.5671380982,625.3105192936,634.3903868746,644.1426655985,628.3315275601,642.8700486629,655.3620021112,666.3775289586,676.3150528060,685.4551175455,693.9963096865,702.0797265243,709.8058912898,717.2626341382
"Carbon Price (per t CO2)",2.0125964256,36.7905717837,43.6192067010,51.2876654725,59.8441548772,69.3370482384,79.8147185866,91.3253345230,103.9166265427,117.6356321205,132.5284321850,148.6398975379,166.0134801574,184.6911167249,204.7133761676,226.1201111135,248.9521201092,273.2548043792,299.0936236327,326.5447143335,331.4782241205,323.1912685175,315.1114868046,307.2336996344,299.5528571436,292.0640357150,284.7624348221,277.6433739516,270.7022896028,263.9347323627,257.3363640536,250.9029549523,244.6303810785,238.5146215515,232.5517560127,226.7379621124,221.0695130596,215.5427752331,210.1542058523,204.9003507060,199.7778419383,194.7833958899,189.9138109926,185.1659657178,180.5368165749,176.0233961605,171.6228112565,167.3322409751,163.1489349507,159.0702115769,155.0934562875,151.2161198803,147.4357168833,143.7498239612,140.1560783622,136.6521764031,133.2358719931,129.9049751932,126.6573508134,123.4909170431,120.4036441170,117.3935530141,114.4587141887,111.5972463340,108.8073151756,106.0871322963,103.4349539889,100.8490801391,98.3278531357,95.8696568073,93.4729153871,91.1360925024,88.8576901898,86.6362479351,84.4703417367,82.3585831933,80.2996186135,78.2921281481,76.3348249444,74.4264543208,72.5657929628,70.7516481387,68.9828569353,67.2582855119,65.5768283741,63.9374076647,62.3389724731,60.7804981613,59.2609857072,57.7794610646,56.3349745380,54.9266001745,53.5534351701,52.2145992909,50.9092343086,49.6365034509,48.3955908646,47.1857010930,46.0060585657,0.0000000000
"Emissions Control Rate",0.0300000000,0.1873832513,0.2117464565,0.2380387969,0.2663179053,0.2966451405,0.3290848406,0.3637036590,0.4005699723,0.4397533559,0.4813241290,0.5253529913,0.5719107995,0.6210685976,0.6728981274,0.7274732706,0.7848732998,0.8451896231,0.9085542494,0.9751191133,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000
