
"Results of DICE-2016R model run using model Dice2016R-091916ap.csv"
"This is optimal if ifopt = 1 and baseline if ifopt = 0"
"ifopt =",0.0000000000

"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000,18.0000000000,19.0000000000,20.0000000000,21.0000000000,22.0000000000,23.0000000000,24.0000000000,25.0000000000,26.0000000000,27.0000000000,28.0000000000,29.0000000000,30.0000000000,31.0000000000,32.0000000000,33.0000000000,34.0000000000,35.0000000000,36.0000000000,37.0000000000,38.0000000000,39.0000000000,40.0000000000,41.0000000000,42.0000000000,43.0000000000,44.0000000000,45.0000000000,46.0000000000,47.0000000000,48.0000000000,49.0000000000,50.0000000000,51.0000000000,52.0000000000,53.0000000000,54.0000000000,55.0000000000,56.0000000000,57.0000000000,58.0000000000,59.0000000000,60.0000000000,61.0000000000,62.0000000000,63.0000000000,64.0000000000,65.0000000000,66.0000000000,67.0000000000,68.0000000000,69.0000000000,70.0000000000,71.0000000000,72.0000000000,73.0000000000,74.0000000000,75.0000000000,76.0000000000,77.0000000000,78.0000000000,79.0000000000,80.0000000000,81.0000000000,82.0000000000,83.0000000000,84.0000000000,85.0000000000,86.0000000000,87.0000000000,88.0000000000,89.0000000000,90.0000000000,91.0000000000,92.0000000000,93.0000000000,94.0000000000,95.0000000000,96.0000000000,97.0000000000,98.0000000000,99.0000000000,100.0000000000
"Year",2015.0000000000,2020.0000000000,2025.0000000000,2030.0000000000,2035.0000000000,2040.0000000000,2045.0000000000,2050.0000000000,2055.0000000000,2060.0000000000,2065.0000000000,2070.0000000000,2075.0000000000,2080.0000000000,2085.0000000000,2090.0000000000,2095.0000000000,2100.0000000000,2105.0000000000,2110.0000000000,2115.0000000000,2120.0000000000,2125.0000000000,2130.0000000000,2135.0000000000,2140.0000000000,2145.0000000000,2150.0000000000,2155.0000000000,2160.0000000000,2165.0000000000,2170.0000000000,2175.0000000000,2180.0000000000,2185.0000000000,2190.0000000000,2195.0000000000,2200.0000000000,2205.0000000000,2210.0000000000,2215.0000000000,2220.0000000000,2225.0000000000,2230.0000000000,2235.0000000000,2240.0000000000,2245.0000000000,2250.0000000000,2255.0000000000,2260.0000000000,2265.0000000000,2270.0000000000,2275.0000000000,2280.0000000000,2285.0000000000,2290.0000000000,2295.0000000000,2300.0000000000,2305.0000000000,2310.0000000000,2315.0000000000,2320.0000000000,2325.0000000000,2330.0000000000,2335.0000000000,2340.0000000000,2345.0000000000,2350.0000000000,2355.0000000000,2360.0000000000,2365.0000000000,2370.0000000000,2375.0000000000,2380.0000000000,2385.0000000000,2390.0000000000,2395.0000000000,2400.0000000000,2405.0000000000,2410.0000000000,2415.0000000000,2420.0000000000,2425.0000000000,2430.0000000000,2435.0000000000,2440.0000000000,2445.0000000000,2450.0000000000,2455.0000000000,2460.0000000000,2465.0000000000,2470.0000000000,2475.0000000000,2480.0000000000,2485.0000000000,2490.0000000000,2495.0000000000,2500.0000000000,2505.0000000000,2510.0000000000
"Industrial Emissions GTCO2 per year",35.7447136501,39.3835637086,42.9314853145,46.3496993380,49.6059721143,52.6740698994,55.5331375354,58.1670563028,60.5638177793,62.7149365550,64.6149142858,66.2607601436,67.6515675985,68.7881439986,69.6726869908,70.3084998108,70.6997351676,70.8511538996,70.7678784192,70.4569501818,69.9252405042,69.1795072867,68.2264051080,67.0724705736,65.7240955877,64.1874957174,62.4686775833,60.5734073269,58.5071811300,56.2751981684,53.8823360586,51.3331287030,48.6317463666,45.7819778056,42.7872142653,39.6504351889,36.3741954655,32.9606139870,29.4113630699,25.7276577757,21.9102429074,17.9593727815,13.8747731381,9.6555629091,5.3000900706,-11.8634326713,-11.5798187001,-11.2958195417,-11.0126724207,-10.7311476395,-10.4517643011,-10.1749078786,-9.9008924844,-9.6299925147,-9.3624577542,-9.0985198383,-8.8383944341,-8.5822814862,-8.3303647360,-8.0828111246,-7.8397703337,-7.6013745657,-7.3677385768,-7.1389599413,-6.9151194636,-6.6962817945,-6.4824961341,-6.2737969749,-6.0702049461,-5.8717276493,-5.6783606339,-5.4900880213,-5.3068835444,-5.1287115363,-4.9555273506,-4.7872782092,-4.6239041330,-4.4653382331,-4.3115072424,-4.1623316127,-4.0177255372,-3.8775960611,-3.7418413188,-3.6103479087,-3.4829838209,-3.3595899340,-3.2399622823,-3.1238202700,-3.0107597308,-2.9001608237,-2.7910348302,-2.7054544955,-2.6181936804,-2.5308227433,-2.4443701205,-2.3595013851,-2.2766380980,-2.1960373382,-2.1178452295,10.2106655863
"Atmospheric concentration C (ppm)",399.5305164319,418.4684293752,438.3111976747,459.1486607988,481.0061775884,503.8643080958,527.6727191938,552.3600408311,577.8408725421,604.0207768968,630.7998456846,658.0752503775,685.7430668032,713.6995786340,741.8422040414,770.0701468717,798.2848423892,826.3902438243,854.2929761713,881.9023644837,909.1314995809,935.8968729459,962.1181441049,987.7179751062,1012.6218957186,1036.7581796057,1060.0577211407,1082.4539077699,1103.8824856941,1124.2814181517,1143.5907363570,1161.7523835138,1178.7100524734,1194.4090176501,1208.7959618045,1221.8187982730,1233.4264891931,1243.5688602229,1252.1964121545,1259.2601295918,1264.7112863065,1268.5012455880,1270.5812510096,1270.9021967746,1269.4143537267,1266.0670003291,1252.6956096122,1241.4825578837,1231.7800907631,1223.1471335082,1215.2832108582,1207.9834611597,1201.1080211971,1194.5611976040,1188.2773008152,1182.2110133880,1176.3308434636,1170.6146767913,1165.0467558852,1159.6156294866,1154.3127615733,1149.1315885756,1144.0668810917,1139.1143123974,1134.2701673334,1129.5311464546,1124.8942347302,1120.3566139677,1115.9156048311,1111.5686288017,1107.3131835854,1103.1468274538,1099.0671697513,1095.0718652425,1091.1586109627,1087.3251450033,1083.5692462806,1079.8887348067,1076.2814725902,1072.7453647686,1069.2783611076,1065.8784577816,1062.5436999239,1059.2721853718,1056.0620699992,1052.9115773093,1049.8190127430,1046.7827881859,1043.8014646714,1040.8738212186,1037.9989763460,1035.1765962862,1032.3920806625,1029.6485883096,1026.9474340428,1024.2888245747,1021.6723140628,1019.0970845063,1016.5621169153,1014.0662946085
"Atmospheric Temperature ",0.8500000000,1.0163451841,1.1892366338,1.3679298492,1.5517465305,1.7400208636,1.9320774319,2.1272273346,2.3247739002,2.5240226181,2.7242920719,2.9249240757,3.1252921250,3.3248078343,3.5229253636,3.7191440136,3.9130092478,4.1041124262,4.2891336317,4.4681302662,4.6411510311,4.8082396301,4.9694372634,5.1247842336,5.2743208943,5.4180881094,5.5561273487,5.6884805171,5.8151895860,5.9362960833,6.0518404811,6.1618615105,6.2663954238,6.3654752180,6.4591298274,6.5473832888,6.6302538775,6.7077532121,6.7798853188,6.8466456464,6.9080200190,6.9639835075,7.0144991996,7.0595168364,7.0989712712,7.1327806809,7.1573990473,7.1748597186,7.1866771692,7.1939928872,7.1976786597,7.1984096520,7.1967162135,7.1930207575,7.1876641760,7.1809249121,7.1730328664,7.1641796509,7.1545262481,7.1442088096,7.1333431118,7.1220280284,7.1103482786,7.0983766303,7.0861756915,7.0737993825,7.0612941601,7.0487000435,7.0360514827,7.0233780960,7.0107053028,6.9980548664,6.9854453635,6.9728925902,6.9604099152,6.9480085865,6.9356980000,6.9234859328,6.9113787487,6.8993815774,6.8874984726,6.8757325511,6.8640861155,6.8525607644,6.8411574913,6.8298767762,6.8187186745,6.8076829067,6.7967689601,6.7859762142,6.7753041143,6.7647524321,6.7543138393,6.7439839356,6.7337599248,6.7236398316,6.7136220500,6.7037050923,6.6938874575,6.6841675709
"Output Net Net) ",104.9972369966,125.0404532429,147.2765387187,171.7445324821,198.4766463847,227.4989026707,258.8316233290,292.4898105409,328.4834514111,366.8177731187,407.4934672664,450.5068947116,495.8502741648,543.5118480240,593.4760045870,645.7233116162,700.2303721100,756.9693297419,815.9577560254,877.1887070229,940.6513702590,1006.3320431025,1074.2148373820,1144.2822098683,1216.5153838814,1290.8947045187,1367.3999549939,1446.0106517815,1526.7063299709,1609.4668262813,1694.2725648620,1781.1048501885,1869.9461715596,1960.7805260744,2053.5937711968,2148.3740277297,2245.1121711062,2343.8024812651,2444.4435803798,2547.0398973169,2651.6040950489,2758.1612617528,2866.7563197857,2977.4672975641,3090.4292273856,3203.3014499688,3319.7372172920,3438.0718966316,3558.3016024357,3680.3497913383,3804.1022767226,3929.4273415779,4056.1869876088,4184.2429816321,4313.4599144401,4443.7065879201,4574.8565053804,4706.7879115019,4839.3836266667,4972.5308144996,5106.1207437915,5240.0485772068,5374.2131982930,5508.5170795656,5642.8661539610,5777.1697530280,5911.3405517712,6045.2944922829,6178.9507574681,6312.2317119005,6445.0629790665,6577.3731357089,6709.0938439313,6840.1600017734,6970.5091837595,7100.0815751953,7228.8200897872,7356.6695542355,7483.5761293536,7609.4858731016,7734.3428506510,7858.0850107598,7980.6371865072,8101.9004259319,8221.7282382191,8339.8930715438,8456.0204618197,8569.4677908745,8679.1282510218,8783.0490395756,8877.7577273156,9036.1871526662,9180.0809428562,9313.2153187909,9438.2626389908,9557.1207691070,9671.1408535757,9781.2865064403,9888.2459081234,9992.7941567656
"Climate Damages fraction output",0.0017051000,0.0024377798,0.0033377097,0.0044161077,0.0056826848,0.0071453073,0.0088096988,0.0106792269,0.0127547939,0.0150348288,0.0175153708,0.0201902268,0.0230511840,0.0260882592,0.0292899674,0.0326435960,0.0361354736,0.0397512236,0.0434161349,0.0471154839,0.0508350676,0.0545612373,0.0582809238,0.0619816557,0.0656515677,0.0692794019,0.0728545006,0.0763667930,0.0798067746,0.0831654824,0.0864344648,0.0896057480,0.0926717994,0.0956254884,0.0984600452,0.1011690179,0.1037462289,0.1061857294,0.1084817540,0.1106286736,0.1126209478,0.1144530764,0.1161195497,0.1176147960,0.1189331277,0.1200686822,0.1208989322,0.1214895243,0.1218900558,0.1221383394,0.1222635243,0.1222883596,0.1222308292,0.1221053324,0.1219235385,0.1216950109,0.1214276652,0.1211281094,0.1208019002,0.1204537381,0.1200876181,0.1197069484,0.1193146442,0.1189132039,0.1185047708,0.1180911850,0.1176740255,0.1172546466,0.1168342083,0.1164137021,0.1159939737,0.1155757417,0.1151596147,0.1147461053,0.1143356426,0.1139285830,0.1135252199,0.1131257916,0.1127304887,0.1123394601,0.1119528191,0.1115706475,0.1111930006,0.1108199101,0.1104513885,0.1100874316,0.1097280215,0.1093731299,0.1090227212,0.1086767567,0.1083352002,0.1079980261,0.1076649828,0.1073359136,0.1070107136,0.1066893049,0.1063716216,0.1060576022,0.1057471851,0.1054403068
"Consumption Per Capita ",10.5017772322,11.8423307882,13.3042385549,14.8918770367,16.6095176127,18.4611990377,20.4506354217,22.5811507081,24.8556337122,27.2765096604,29.8457253853,32.5647461949,35.4345632108,38.4557109216,41.6282961858,44.9520425723,48.4263588682,52.0504500075,55.8247375701,59.7490584025,63.8228042846,68.0450208803,72.4144804356,76.9297374935,81.5891735518,86.3910344572,91.3334629505,96.4145278977,101.6322511795,106.9846328414,112.4696748110,118.0854033099,123.8298897540,129.7012696903,135.6977585462,141.8176619895,148.0593766020,154.4213729276,160.9021459466,167.5001058860,174.2133587556,181.0392852586,187.9737495491,195.0096343853,202.1341537985,209.6310131471,217.2260966941,224.9348786941,232.7613878947,240.7031694375,248.7542453744,256.9068498706,265.1524254742,273.4821776505,281.8873713071,290.3594789735,298.8902463059,307.4717143099,316.0962187067,324.7563806526,333.4450938430,342.1555114304,350.8810339694,359.6153048429,368.3521954847,377.0858018912,385.8104459045,394.5206641546,403.2112116407,411.8770362311,420.5133425013,429.1155109924,437.6790952596,446.1999418480,454.6740951271,463.0977627395,471.4674728976,479.7800181146,488.0325887058,496.2228236983,504.3491576941,512.4112415392,520.4104528445,528.3519536070,536.2459668914,544.1127323238,551.9908079273,559.9475377120,568.1064385893,576.6868934688,572.5942458236,582.8124848479,592.0932185351,600.6800034090,608.7451994653,616.4112137744,623.7651912382,630.8692820307,637.7678715757,644.5109513310
"Carbon Price (per t CO2)",2.0000000000,2.2081616064,2.4379888400,2.6917366766,2.9718947920,3.2812119889,3.6227231682,3.9997791053,4.4160793272,4.8757084106,5.3831760581,5.9434613460,6.5620615767,7.2450462163,7.9991164457,8.8316709103,9.7508783122,10.7657575588,11.8862662526,13.1233983912,14.4892922365,15.9973494103,17.6623663860,19.5006796658,21.5303260684,23.7712196988,26.2453473381,28.9769841693,31.9929319559,35.3227820106,38.9992055335,43.0582741696,47.5398139296,52.4877959474,57.9507679078,63.9823303777,70.6416627140,77.9941037086,86.1117926675,95.0743772133,104.9697947574,115.8951353075,127.9575940773,141.2755232444,155.9795931762,235.6461722348,229.7550179289,224.0111424807,218.4108639187,212.9505923207,207.6268275127,202.4361568249,197.3752529042,192.4408715816,187.6298497921,182.9391035473,178.3656259586,173.9064853096,169.5588231769,165.3198525975,161.1868562825,157.1571848755,153.2282552536,149.3975488723,145.6626101504,142.0210448967,138.4705187743,135.0087558049,131.6335369098,128.3426984870,125.1341310249,122.0057777492,118.9556333055,115.9817424729,113.0821989111,110.2551439383,107.4987653398,104.8112962063,102.1910138012,99.6362384561,97.1453324947,94.7166991824,92.3487817028,90.0400621602,87.7890606062,85.5943340911,83.4544757388,81.3681138453,79.3339109992,77.3505632242,75.4167991436,73.5313791650,71.6930946859,69.9007673187,68.1532481358,66.4494169324,64.7881815091,63.1684769713,61.5892650471,0.0000000000
"Emissions Control Rate",0.0298825095,0.0322971885,0.0349069875,0.0377276733,0.0407762867,0.0440712457,0.0476324563,0.0514814333,0.0556414299,0.0601375781,0.0649970410,0.0702491765,0.0759257149,0.0820609502,0.0886919480,0.0958587685,0.1036047095,0.1119765672,0.1210249192,0.1308044302,0.1413741821,0.1527980308,0.1651449923,0.1784896595,0.1929126527,0.2085011069,0.2253491981,0.2435587121,0.2632396598,0.2845109415,0.3075010653,0.3323489237,0.3592046322,0.3882304368,0.4196016936,0.4535079289,0.4901539833,0.5297612502,0.5725690125,0.6188358887,0.6688413952,0.7228876348,0.7813011221,0.8444347558,0.9126699510,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,0.0000000000
