
"Results of DICE-2016R model run using model Dice2016R-091916ap.csv"
"This is optimal if ifopt = 1 and baseline if ifopt = 0"
"ifopt =",1.0000000000

"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000,18.0000000000,19.0000000000,20.0000000000,21.0000000000,22.0000000000,23.0000000000,24.0000000000,25.0000000000,26.0000000000,27.0000000000,28.0000000000,29.0000000000,30.0000000000,31.0000000000,32.0000000000,33.0000000000,34.0000000000,35.0000000000,36.0000000000,37.0000000000,38.0000000000,39.0000000000,40.0000000000,41.0000000000,42.0000000000,43.0000000000,44.0000000000,45.0000000000,46.0000000000,47.0000000000,48.0000000000,49.0000000000,50.0000000000,51.0000000000,52.0000000000,53.0000000000,54.0000000000,55.0000000000,56.0000000000,57.0000000000,58.0000000000,59.0000000000,60.0000000000,61.0000000000,62.0000000000,63.0000000000,64.0000000000,65.0000000000,66.0000000000,67.0000000000,68.0000000000,69.0000000000,70.0000000000,71.0000000000,72.0000000000,73.0000000000,74.0000000000,75.0000000000,76.0000000000,77.0000000000,78.0000000000,79.0000000000,80.0000000000,81.0000000000,82.0000000000,83.0000000000,84.0000000000,85.0000000000,86.0000000000,87.0000000000,88.0000000000,89.0000000000,90.0000000000,91.0000000000,92.0000000000,93.0000000000,94.0000000000,95.0000000000,96.0000000000,97.0000000000,98.0000000000,99.0000000000,100.0000000000
"Year",2015.0000000000,2020.0000000000,2025.0000000000,2030.0000000000,2035.0000000000,2040.0000000000,2045.0000000000,2050.0000000000,2055.0000000000,2060.0000000000,2065.0000000000,2070.0000000000,2075.0000000000,2080.0000000000,2085.0000000000,2090.0000000000,2095.0000000000,2100.0000000000,2105.0000000000,2110.0000000000,2115.0000000000,2120.0000000000,2125.0000000000,2130.0000000000,2135.0000000000,2140.0000000000,2145.0000000000,2150.0000000000,2155.0000000000,2160.0000000000,2165.0000000000,2170.0000000000,2175.0000000000,2180.0000000000,2185.0000000000,2190.0000000000,2195.0000000000,2200.0000000000,2205.0000000000,2210.0000000000,2215.0000000000,2220.0000000000,2225.0000000000,2230.0000000000,2235.0000000000,2240.0000000000,2245.0000000000,2250.0000000000,2255.0000000000,2260.0000000000,2265.0000000000,2270.0000000000,2275.0000000000,2280.0000000000,2285.0000000000,2290.0000000000,2295.0000000000,2300.0000000000,2305.0000000000,2310.0000000000,2315.0000000000,2320.0000000000,2325.0000000000,2330.0000000000,2335.0000000000,2340.0000000000,2345.0000000000,2350.0000000000,2355.0000000000,2360.0000000000,2365.0000000000,2370.0000000000,2375.0000000000,2380.0000000000,2385.0000000000,2390.0000000000,2395.0000000000,2400.0000000000,2405.0000000000,2410.0000000000,2415.0000000000,2420.0000000000,2425.0000000000,2430.0000000000,2435.0000000000,2440.0000000000,2445.0000000000,2450.0000000000,2455.0000000000,2460.0000000000,2465.0000000000,2470.0000000000,2475.0000000000,2480.0000000000,2485.0000000000,2490.0000000000,2495.0000000000,2500.0000000000,2505.0000000000,2510.0000000000
"Industrial Emissions GTCO2 per year",35.7403846239,33.1014669185,35.1058767437,36.7545211393,38.0089397594,38.8387575754,39.2210186325,39.1394775574,38.5838939268,37.5493575593,36.0356597873,34.0467157798,31.5900348537,28.6762277910,25.3185305409,21.5323093429,17.3344888221,12.7428048972,7.7735042610,2.4434865996,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-16.0869678034,-15.9299017113,-15.7588927944,-15.5743536355,-15.3769126679,-15.1673435066,-14.9465135523,-14.7153463358,-14.4747938575,-14.2258162657,-13.9693669568,-13.7063816867,-13.4377706595,-13.1644128304,-12.8871518648,-12.6067933422,-12.3241029069,-12.0398051422,-11.7545830098,-11.4690777291,-11.1838890091,-10.8995755620,-10.6166558444,-10.3356089833,-10.0568758521,-9.7808602684,-9.5079302863,-9.2384195661,-8.9726288003,-8.7108271805,-8.4532538917,-8.2001196205,-7.9516080675,-7.7078774529,-7.4690620067,-7.2352734381,-7.0066023742,-6.7831197659,-6.5648782538,-6.3519134908,-6.1442454185,-5.9418794926,-5.7448078557,-5.5530104533,-5.3664560889,-5.1851034110,-5.0089018228,-4.8377922976,-4.6717080714,-4.5105751643,-4.3543126591,-4.2028325916,-4.0560392287,-3.9138273750,-3.7760790472,-3.6426574560,-3.5133964921,-3.3880826434,-3.2664240363,-3.1479973585,-3.0321558822,-2.9178667069,-2.8281386245,-2.7366833804,-2.6451363779,-2.5545685244,-2.4656727044,-2.3788875708,-2.2944803900,-2.2126028072,10.6666426968
"Atmospheric concentration C (ppm)",399.5305164319,418.4656574075,434.2861980377,450.5956921652,467.2408483786,484.0483340756,500.8313594115,517.3947983848,533.5391977607,549.0639361729,563.7697305514,577.4606379537,589.9456630316,601.0400510434,610.5663202146,618.3550618869,624.2455078002,628.0858245347,629.7330354786,629.0515979044,625.9136147686,622.2671033562,619.5246739938,617.3962884942,615.6850042844,614.2571269107,613.0219279131,611.9178630773,610.9032081229,609.9496962826,598.7373678518,588.8907897675,580.0074848745,571.8154318071,564.1310650168,556.8307499935,549.8314129612,543.0773897374,536.5314995410,530.1689888875,523.9734250937,517.9339140347,512.0432173123,506.2964802161,500.6903744098,495.2225221438,489.8911115098,484.6946412619,479.6317534422,474.7011254339,469.9014021608,465.2311553314,460.6888608238,456.2728881595,451.9814979544,447.8128445519,443.7649819433,439.8358716864,436.0233919517,432.3253471082,428.7394774553,425.2634688357,421.8949619597,418.6315613286,415.4708436908,412.4103659915,409.4476727980,406.5803031952,403.8057971587,401.1217014149,398.5255748068,396.0149931842,393.5875538411,391.2408795264,388.9726220537,386.7804655425,384.6621293283,382.6153705856,380.6379867282,378.7278176741,376.8827481053,375.1007099329,373.3796853070,371.7177107078,370.1128830313,368.5633691788,367.0674216735,365.6234045630,364.2298368668,362.8854660676,361.5893937131,360.3412935119,359.1259672010,357.9467236763,356.8049509824,355.7008829098,354.6340735652,353.6036894923,352.6086880060,351.6479248189
"Atmospheric Temperature ",0.8500000000,1.0163416484,1.1843094519,1.3535977829,1.5237528862,1.6941960381,1.8642509126,2.0331709740,2.2001644063,2.3644152785,2.5251004316,2.6814020717,2.8325163318,2.9776582018,3.1160632478,3.2469865096,3.3696988633,3.4834810001,3.5846590814,3.6728835010,3.7477309238,3.8104711702,3.8634188024,3.9083484738,3.9466399287,3.9793811778,4.0074421295,4.0315274368,4.0522147350,4.0699825922,4.0761264294,4.0731784394,4.0630297379,4.0471097813,4.0265141349,4.0020952429,3.9745269338,3.9443503808,3.9120069990,3.8778621410,3.8422223019,3.8053477310,3.7674617782,3.7287579032,3.6894050026,3.6495515128,3.6093286143,3.5688527700,3.5282277613,3.4875463443,3.4468916109,3.4063381218,3.3659528568,3.3257960211,3.2859217337,3.2463786203,3.2072103268,3.1684559674,3.1301505183,3.0923251644,3.0550076080,3.0182223437,2.9819909054,2.9463320896,2.9112621571,2.8767950178,2.8429423991,2.8097140021,2.7771176448,2.7451593959,2.7138436991,2.6831734896,2.6531503033,2.6237743794,2.5950447574,2.5669593687,2.5395151231,2.5127079913,2.4865330831,2.4609847222,2.4360565183,2.4117414361,2.3880318645,2.3649196856,2.3423963477,2.3204529466,2.2990803233,2.2782691914,2.2580103169,2.2382947886,2.2191144477,2.2004625949,2.1823116691,2.1646431980,2.1474438051,2.1307028327,2.1144109563,2.0985594029,2.0831395322,2.0681426306
"Output Net Net) ",104.9972283113,125.0100796257,147.2439341797,171.7088693084,198.4416219480,227.4744359833,258.8360471445,292.5525745434,328.6483395288,367.1466253774,408.0703805799,451.4428512898,497.2880984610,545.6312991452,596.4986232848,649.9162658372,705.9077987037,764.4881899929,825.6939030202,889.4988955529,956.8912380862,1028.1477823167,1102.7587782241,1180.6537569935,1261.7898682434,1346.1495489584,1433.7474356653,1524.6510051914,1619.0245258889,1712.2626223657,1811.7328701444,1914.7077953197,2021.0627914249,2130.6841298753,2243.4652713104,2359.3040407948,2478.1004911990,2599.7553192931,2724.1687249924,2851.2396237223,2980.8651375610,3112.9403040736,3247.3579533595,3384.0087132717,3522.7811109923,3663.5617456883,3806.2355123501,3950.6858613428,4096.7950814658,4244.4445970575,4393.5152719667,4543.8877144403,4695.4425788050,4848.0608602216,5001.6241802378,5156.0150606450,5311.1171843678,5466.8156425418,5622.9971661446,5779.5503423069,5936.3658146121,6093.3364672547,6250.3575929987,6407.3270450797,6564.1453730637,6720.7159429317,6876.9450419720,7032.7419680221,7188.0191036819,7342.6919747293,7496.6792922170,7649.9029757975,7802.2881541275,7953.7631342301,8104.2593250286,8253.7110880341,8402.0554676891,8549.2317154114,8695.1804536819,8839.8422282195,8983.1549560988,9125.0494416434,9265.4415368333,9404.2183246618,9541.2138050556,9676.1660725912,9808.6417546445,9937.9021503765,10062.6648092241,10180.6742809418,10287.9149577321,10468.6497951671,10632.4777434708,10783.7672502635,10925.6103730560,11060.2036375482,11189.1114288669,11313.4500772897,11434.0174806956,11551.6805948921
"Climate Damages fraction output",0.0017051000,0.0024377628,0.0033101098,0.0043240556,0.0054795019,0.0067739085,0.0082020183,0.0097557307,0.0114241073,0.0131934847,0.0150476720,0.0169682043,0.0189346311,0.0209248181,0.0229152464,0.0248812945,0.0267974942,0.0286377501,0.0303254825,0.0318365728,0.0331473495,0.0342664697,0.0352253714,0.0360494432,0.0367592815,0.0373717200,0.0379006381,0.0383575838,0.0387522485,0.0390928296,0.0392109437,0.0391542469,0.0389593771,0.0386546703,0.0382622459,0.0377995685,0.0372805999,0.0367166438,0.0361169651,0.0354892429,0.0348399064,0.0341743844,0.0334972931,0.0328125798,0.0321236339,0.0314333739,0.0307443172,0.0300586358,0.0293782031,0.0287046316,0.0280393058,0.0273834090,0.0267379472,0.0261037693,0.0254815847,0.0248719790,0.0242754275,0.0236923072,0.0231229078,0.0225674408,0.0220260487,0.0214988120,0.0209857566,0.0204868598,0.0200020557,0.0195312410,0.0190742787,0.0186310029,0.0182012225,0.0177847243,0.0173812764,0.0169906311,0.0166125274,0.0162466931,0.0158928472,0.0155507017,0.0152199635,0.0149003354,0.0145915184,0.0142932121,0.0140051164,0.0137269323,0.0134583630,0.0131991145,0.0129488967,0.0127074244,0.0124744180,0.0122496048,0.0120327210,0.0118235140,0.0116217467,0.0114272041,0.0112394628,0.0110582052,0.0108831752,0.0107141512,0.0105509315,0.0103933257,0.0102411499,0.0100942249
"Consumption Per Capita ",10.4870734713,11.8246994234,13.2822898506,14.8643995186,16.5754912644,18.4198524292,20.4015430327,22.5243687476,24.7918741922,27.2073538438,29.7738795268,32.4943455438,35.3715359911,38.4082251967,41.6073345202,44.9721927256,48.5069940706,52.2176404716,56.1143587139,60.2129562835,64.5396416708,69.1014622928,73.8885889540,78.8937096701,84.1104404407,89.5317822453,95.1481365920,100.9441509406,106.8931640811,113.0830995567,119.5162757670,126.1827216764,133.0736571076,140.1811268732,147.4977281158,155.0164055280,162.7302981430,170.6326262865,178.7166100776,186.9754127749,195.4021036084,203.9896357393,212.7308359060,221.6184029457,230.6449129960,239.8028296288,249.0845175253,258.4822586457,267.9882700507,277.5947226957,287.2937607669,297.0775210758,306.9381523144,316.8678338254,326.8587938513,336.9033269975,346.9938108060,357.1227215482,367.2826489224,377.4663097984,387.6665609180,397.8764105540,408.0890291121,418.2977587257,428.4961218250,438.6778286634,448.8367840145,458.9670928833,469.0630655096,479.1192216437,489.1302944452,499.0912342887,508.9972131152,518.8436303632,528.6261223516,538.3405781961,547.9831680737,557.5503940279,567.0391776735,576.4470217945,585.7722954485,595.0147311316,604.1763159908,613.2628589239,622.2867536413,631.2718557492,640.2621210506,649.3369258065,658.6384774107,668.4214866119,663.5460312456,675.2029032869,685.7693311553,695.5270684637,704.6755446654,713.3564295693,721.6706214792,729.6901202976,737.4663878688,745.0553401668
"Carbon Price (per t CO2)",2.0125964256,36.7176414642,43.5264959040,51.1703687430,59.6964864733,69.1520731217,79.5841638996,91.0393807584,103.5636771305,117.2020610524,131.9983089465,147.9946894210,165.2317315046,183.7481033547,203.5807299492,224.7654004626,247.3383516126,271.3397654664,296.8288336171,323.8737481707,331.4782241205,323.1912685175,315.1114868046,307.2336996344,299.5528571436,292.0640357150,284.7624348221,277.6433739516,270.7022896028,353.3349018239,344.5015292783,335.8889910464,327.4917662702,319.3044721134,311.3218603106,303.5388138028,295.9503434578,288.5515848713,281.3377952495,274.3043503683,267.4467416091,260.7605730689,254.2415587421,247.8855197736,241.6883817793,235.6461722348,229.7550179289,224.0111424807,218.4108639187,212.9505923207,207.6268275127,202.4361568249,197.3752529042,192.4408715816,187.6298497921,182.9391035473,178.3656259586,173.9064853096,169.5588231769,165.3198525975,161.1868562825,157.1571848755,153.2282552536,149.3975488723,145.6626101504,142.0210448967,138.4705187743,135.0087558049,131.6335369098,128.3426984870,125.1341310249,122.0057777492,118.9556333055,115.9817424729,113.0821989111,110.2551439383,107.4987653398,104.8112962063,102.1910138012,99.6362384561,97.1453324947,94.7166991824,92.3487817028,90.0400621602,87.7890606062,85.5943340911,83.4544757388,81.3681138453,79.3339109992,77.3505632242,75.4167991436,73.5313791650,71.6930946859,69.9007673187,68.1532481358,66.4494169324,64.7881815091,63.1684769713,61.5892650471,0.0000000000
"Emissions Control Rate",0.0300000000,0.1871510076,0.2114650579,0.2376983988,0.2659069947,0.2961502801,0.3284903920,0.3629914827,0.3997191032,0.4387396520,0.4801198929,0.5239265639,0.5702261242,0.6190847515,0.6705688090,0.7247462191,0.7816895856,0.8414826783,0.9042482895,0.9701264594,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,1.2000000000,0.0000000000
